antecedents_str,consequents_str,support,confidence,lift,leverage,conviction
"Coffee Creamer, Coffee Filter Paper",Coffee Beans 250g,0.02979529946929492,0.9889280322093609,12.93787020912663,0.027492347052267524,83.41455854986582
"Mouthwash, Toothpaste",Toothbrush,0.020833965125094767,0.9359673024523161,12.372628502050562,0.01915008969622839,14.435621441130449
Coffee Creamer,Coffee Filter Paper,0.030128885519332828,0.6521168362323597,11.68989001074317,0.027551540010380737,2.714173644985481
Coffee Filter Paper,Coffee Creamer,0.030128885519332828,0.5400924164175047,11.689890010743168,0.027551540010380737,2.0738912905937408
Pet Shampoo,Dog Treats,0.012539802880970433,0.49729404690318707,11.646499429426559,0.011463101426000469,1.9042960993358025
"Fresh Berries Pack, Yogurt Cup",Granola,0.01995451099317665,0.8019500304692262,11.5025238167563,0.018219716846164503,4.697201003090923
Parmesan Cheese,"Pasta Sauce, Spaghetti Pasta",0.02947687642153146,0.5002573340195574,11.392255241225763,0.026889427685756834,1.913160533406624
"Pasta Sauce, Spaghetti Pasta",Parmesan Cheese,0.02947687642153146,0.6712707182320441,11.392255241225762,0.026889427685756834,2.862770751970234
Baby Wipes,Baby Lotion,0.021425322213798333,0.3536036036036036,10.897269933484887,0.01945920387915352,1.4968387517731996
Baby Lotion,Baby Wipes,0.021425322213798333,0.6602803738317757,10.897269933484887,0.01945920387915352,2.765246899353748
"Granola, Yogurt Cup",Fresh Berries Pack,0.01995451099317665,0.5578635014836796,10.875287591737708,0.018119661953567186,2.1457255089527862
Fresh Berries Pack,"Granola, Yogurt Cup",0.01995451099317665,0.3890038427431274,10.875287591737708,0.018119661953567186,1.5781285466075257
"Green Tea Bags, Honey Jar",Lemon 500g,0.013191811978771797,0.5114638447971782,10.773248343779592,0.011967314820828839,1.949752602206573
Pasta Sauce,"Parmesan Cheese, Spaghetti Pasta",0.02947687642153146,0.3331619537275064,10.507905714169798,0.026671666970348226,1.452067961113972
"Parmesan Cheese, Spaghetti Pasta",Pasta Sauce,0.02947687642153146,0.9296987087517934,10.507905714169798,0.026671666970348226,12.965962154384117
"Conditioner, Hair Treatment Mask",Shampoo,0.02265352539802881,0.9638709677419355,10.458586759226826,0.020487503743330263,25.12769414058269
Baby Lotion,Diapers Pack,0.02180439727065959,0.67196261682243,10.097045928329747,0.019644914445145052,2.845558557916405
Diapers Pack,Baby Lotion,0.02180439727065959,0.32763727500569606,10.097045928329747,0.019644914445145052,1.4390315512224048
"Potato Chips, Salsa Dip",Beer 6pk,0.025473843821076574,0.9125475285171103,9.774648287429498,0.0228677302227145,10.367247255826221
Dog Food 3kg,Dog Treats,0.023366186504927975,0.41413598495028214,9.698958880494002,0.02095704272023571,1.6339986088988738
Dog Treats,Dog Food 3kg,0.023366186504927975,0.5472301136363636,9.698958880494002,0.02095704272023571,2.0840133077643492
"Mouthwash, Toothbrush",Toothpaste,0.020833965125094767,0.9594972067039106,9.6066252895283,0.01866525712439812,22.223684609552677
Strawberry Jam,"Butter, Sandwich Bread",0.044579226686884,0.6544968833481745,9.490780443450332,0.03988211806104401,2.694733045184183
"Butter, Sandwich Bread",Strawberry Jam,0.044579226686884,0.646437994722955,9.49078044345033,0.03988211806104401,2.6357124913717986
"Parmesan Cheese, Pasta Sauce",Spaghetti Pasta,0.02947687642153146,0.9510763209393346,9.44346331917331,0.02635547112505683,18.38143320697496
Coffee Filter Paper,Coffee Beans 250g,0.04013646702047005,0.7194889915737972,9.412874230170981,0.03587247006916467,3.292431590175785
Coffee Beans 250g,Coffee Filter Paper,0.04013646702047005,0.525094227335846,9.412874230170981,0.03587247006916467,1.9882161240858018
Pet Shampoo,Dog Food 3kg,0.012706595905989385,0.5039085989176187,8.931140042627508,0.011283866462117497,1.902025446274726
Coffee Beans 250g,Coffee Creamer,0.030568612585291886,0.3999206506645506,8.655978638440143,0.02703710980991067,1.589453683293755
Coffee Creamer,Coffee Beans 250g,0.030568612585291886,0.66163439448638,8.655978638440141,0.02703710980991067,2.729483406366254
Hair Treatment Mask,Conditioner,0.02350265352539803,0.596383224317045,8.238683209825957,0.020649933870227004,2.2982489406496387
Conditioner,Hair Treatment Mask,0.02350265352539803,0.3246753246753247,8.238683209825957,0.020649933870227004,1.422414124919811
Baby Wipes,Diapers Pack,0.03141774071266111,0.5185185185185186,7.791363931714811,0.02738536063286854,1.9387029801131395
Diapers Pack,Baby Wipes,0.03141774071266111,0.4720893141945774,7.79136393171481,0.02738536063286854,1.779484045635598
"Beer 6pk, Salsa Dip",Potato Chips,0.025473843821076574,0.9621993127147767,7.365878662047535,0.022015486035150807,22.99880763663934
Mouthwash,Toothbrush,0.021713419257012888,0.5428354814253222,7.175786730807778,0.018687490523123577,2.0219237147595357
Hair Treatment Mask,Shampoo,0.023912054586808187,0.6067718353212774,6.583843787337652,0.020280125373542686,2.308683237167456
Honey Jar,Green Tea Bags,0.02579226686884003,0.4069377990430622,6.537770486453095,0.021847150269491036,1.5812099880084447
Green Tea Bags,Honey Jar,0.02579226686884003,0.4143727161997564,6.537770486453095,0.021847150269491036,1.599342579148475
Salsa Dip,Beer 6pk,0.026474601971190295,0.6051993067590988,6.482523027572286,0.022390605376255705,2.2964534017243756
Butter,"Sandwich Bread, Strawberry Jam",0.044579226686884,0.30378177309361437,6.325989243929229,0.03753222977179049,1.367356864566575
"Sandwich Bread, Strawberry Jam",Butter,0.044579226686884,0.928323334385854,6.325989243929229,0.03753222977179049,11.904187460130304
"Fresh Berries Pack, Granola",Yogurt Cup,0.01995451099317665,0.9494949494949496,6.295284198169491,0.016784755607235708,16.81363760424568
Pasta Sauce,Parmesan Cheese,0.0309931766489765,0.3502999143101971,5.945002405753345,0.0257798605670549,1.4484784501179822
Parmesan Cheese,Pasta Sauce,0.0309931766489765,0.525990735975296,5.945002405753345,0.0257798605670549,1.923008580020234
Granola,Fresh Berries Pack,0.02101592115238817,0.30143540669856456,5.876342025353335,0.01743956003152157,1.3580756488414842
Fresh Berries Pack,Granola,0.02101592115238817,0.40969553650605967,5.876342025353335,0.01743956003152157,1.5759333921276153
Conditioner,Shampoo,0.03731614859742229,0.5155006284038542,5.593495630673608,0.030644801900950765,1.8737676979540436
Shampoo,Conditioner,0.03731614859742229,0.4049029285949326,5.593495630673607,0.030644801900950765,1.558757170408544
Mouthwash,Toothpaste,0.0222592873388931,0.5564821834723275,5.571580385608016,0.018264139499620927,2.029504273504273
Parmesan Cheese,Spaghetti Pasta,0.03170583775587566,0.538085434894493,5.34277844494005,0.02577150263743123,1.9468694144504677
Spaghetti Pasta,Parmesan Cheese,0.03170583775587566,0.31481481481481477,5.34277844494005,0.02577150263743123,1.3734631067762226
"Butter, Strawberry Jam",Sandwich Bread,0.044579226686884,0.9520725388601037,5.193910492002964,0.03599624730063497,17.04021965862756
Lemon 500g,Green Tea Bags,0.014935557240333587,0.31459597572660497,5.054227673366528,0.011980495022017392,1.368179704893778
Toothbrush,Toothpaste,0.03730098559514784,0.4930847865303669,4.936836446284758,0.029745340193279426,1.7756841382944952
Toothpaste,Toothbrush,0.03730098559514784,0.3734628814331259,4.936836446284757,0.029745340193279426,1.475334428336995
Spaghetti Pasta,Pasta Sauce,0.04391205458680819,0.4360132490213791,4.928033208733496,0.03500138927128497,1.6162150620505187
Pasta Sauce,Spaghetti Pasta,0.04391205458680819,0.49631533847472153,4.928033208733496,0.03500138927128497,1.7854173604767758
Lemon 500g,Honey Jar,0.014753601213040183,0.31076333439795595,4.903072225728516,0.011744548820211514,1.358921684287743
Salsa Dip,Potato Chips,0.027915087187263078,0.6381282495667244,4.885032856520659,0.02220067583995733,2.402427750617994
Strawberry Jam,Butter,0.04682335102350265,0.6874443455031166,4.6845375682920585,0.0368280525888326,2.729921701021018
Butter,Strawberry Jam,0.04682335102350265,0.3190741888820004,4.6845375682920585,0.0368280525888326,1.3685599496560712
Strawberry Jam,Sandwich Bread,0.04802122820318423,0.7050311665182547,3.8462077452129124,0.03553588383691783,2.768748331354514
Beer 6pk,Potato Chips,0.04415466262319939,0.472957609225272,3.620609904632233,0.0319592967079961,1.6495271549745278
Potato Chips,Beer 6pk,0.04415466262319939,0.3380150899593731,3.6206099046322326,0.0319592967079961,1.3695801539351817
Granola,Yogurt Cup,0.03576952236542835,0.5130491518051327,3.40158757027732,0.025253984656513163,1.7438589942371787
Fresh Berries Pack,Yogurt Cup,0.024882486732373008,0.4850724209281702,3.216097935077192,0.017145630692951504,1.6491127119403857
Butter,Sandwich Bread,0.06896133434420015,0.46993180409175456,2.563653112734818,0.042061698819550505,1.5407347050973406
Sandwich Bread,Butter,0.06896133434420015,0.37620977748366285,2.563653112734818,0.042061698819550505,1.3678516161184664
"Fresh Milk 1L, Sandwich Bread",Butter,0.01200909780136467,0.31058823529411766,2.1164800700193287,0.006335008084443784,1.2376528914499814
"Butter, Fresh Milk 1L",Sandwich Bread,0.01200909780136467,0.3604915794264907,1.9666159039769262,0.005902619267818971,1.2770660076246698
