gt_name,program,source_pages,question,answer,answer_page,regulation_clause
intake_plan,DSBA (วท.บ. วิทยาการข้อมูลและการวิเคราะห์เชิงธุรกิจ),12,แผนการรับนักศึกษาต่อปีเท่าไร,รับปีละ 50 คน,12,
credit_gened,DSBA (วท.บ. วิทยาการข้อมูลและการวิเคราะห์เชิงธุรกิจ),13,หมวดวิชาศึกษาทั่วไปมีกี่หน่วยกิต,30 หน่วยกิต (พื้นฐาน 6 + ภาษาและการสื่อสาร 9 + ตามเกณฑ์คณะ 9 + เลือก gen-ed 6),13,
credit_specific,DSBA (วท.บ. วิทยาการข้อมูลและการวิเคราะห์เชิงธุรกิจ),13,หมวดวิชาเฉพาะมีกี่หน่วยกิต,96 หน่วยกิต (แกน 45 + พื้นฐานวิชาชีพ 33 + ชีพเฉพาะด้าน 12 + เลือก 6),13,
credit_free_elective,DSBA (วท.บ. วิทยาการข้อมูลและการวิเคราะห์เชิงธุรกิจ),13,หมวดวิชาเลือกเสรีมีกี่หน่วยกิต,6 หน่วยกิต,13,
specialized_groups,DSBA (วท.บ. วิทยาการข้อมูลและการวิเคราะห์เชิงธุรกิจ),13,กลุ่มวิชาชีพเฉพาะด้านมีกี่กลุ่มและต้องเลือกอย่างไร,มี 3 กลุ่ม (วิทยาการข้อมูล / การวิเคราะห์เชิงสถิติ / วิศวกรรมข้อมูล) เลือกลงทะเบียน 1 กลุ่ม รวม 12 หน่วยกิต,13,
course_isd,DSBA (วท.บ. วิทยาการข้อมูลและการวิเคราะห์เชิงธุรกิจ),18,รายวิชา 06026240 คือวิชาอะไรและกี่หน่วยกิต,การพัฒนาระบบอัจฉริยะ (INTELLIGENT SYSTEM DEVELOPMENT) 3 (2-2-5) กลุ่มวิศวกรรมข้อมูล,18,
registration_credits,DSBA (วท.บ. วิทยาการข้อมูลและการวิเคราะห์เชิงธุรกิจ),89,ภาคปกติลงทะเบียนได้กี่หน่วยกิต,ไม่น้อยกว่า 9 หน่วยกิต และไม่เกิน 22 หน่วยกิต (ยกเว้นชั้นปีสุดท้าย),89,ข้อ 11
grade_scale,DSBA (วท.บ. วิทยาการข้อมูลและการวิเคราะห์เชิงธุรกิจ),90-91,ระดับคะแนน (เกรด) และค่าระดับคะแนนกำหนดไว้อย่างไร,"A=4.00, B+=3.50, B=3.00, C+=2.50, C=2.00, D+=1.50, D=1.00, F=0 และมี I/S/U/T",90-91,ข้อ 19.3
gpa_definition,DSBA (วท.บ. วิทยาการข้อมูลและการวิเคราะห์เชิงธุรกิจ),92,GPS และ GPA ต่างกันอย่างไร,GPS = ค่าระดับคะแนนเฉลี่ยประจำภาค; GPA = ค่าระดับคะแนนเฉลี่ยสะสมตั้งแต่ภาคแรกจนถึงปัจจุบัน,92,ข้อ 21
probation,DSBA (วท.บ. วิทยาการข้อมูลและการวิเคราะห์เชิงธุรกิจ),92,นักศึกษาถูกภาคทัณฑ์เมื่อ GPA ต่ำกว่าเท่าไร,เมื่อค่าระดับคะแนนเฉลี่ยสะสม (GPA) ต่ำกว่า 2.00,92,ข้อ 22
graduation_criteria,DSBA (วท.บ. วิทยาการข้อมูลและการวิเคราะห์เชิงธุรกิจ),92,เกณฑ์การสำเร็จการศึกษาด้าน GPA และภาษาอังกฤษเป็นอย่างไร,เรียนครบหน่วยกิตและสอบผ่านทุกรายวิชา ได้ GPA สะสมไม่ต่ำกว่า 2.00 และผ่านการสอบภาษาอังกฤษ (English Exit Exam),92,ข้อ 25 (25.1-25.2)
honors_gold,DSBA (วท.บ. วิทยาการข้อมูลและการวิเคราะห์เชิงธุรกิจ),92-93,เกียรตินิยมอันดับหนึ่งเหรียญทองต้องมี GPA เท่าไร,GPA สะสมไม่ต่ำกว่า 3.75 และสูงสุดในกลุ่มผู้สำเร็จการศึกษา,92-93,ข้อ 27.2.1
honors_first,DSBA (วท.บ. วิทยาการข้อมูลและการวิเคราะห์เชิงธุรกิจ),92-93,เกียรตินิยมอันดับหนึ่งและอันดับสองต้องมี GPA เท่าไร,อันดับหนึ่ง GPA ไม่ต่ำกว่า 3.60; อันดับสอง GPA ไม่ต่ำกว่า 3.25,92-93,ข้อ 27.2.2 และ 27.2.3
loss_of_status,DSBA (วท.บ. วิทยาการข้อมูลและการวิเคราะห์เชิงธุรกิจ),94,นักศึกษาพ้นสภาพเพราะผลการเรียนเมื่อ GPA ต่ำกว่าเท่าไร,เมื่อค่าระดับคะแนนเฉลี่ยสะสม (GPA) ต่ำกว่า 1.00,94,ข้อ 33.12
