transaction_id,customer_id,transaction_date,channel,store_id,payment_method,n_items,total_units,gross_amount,discount_amount,net_amount,is_return
T200045,C10006,2026-04-21,Mobile App,ONLINE,Mobile Banking,3,9,901.45,129.4,772.05,0
T200046,C10006,2026-05-19,Mobile App,ONLINE,Credit Card,3,9,598.08,12.93,585.15,0
T200047,C10006,2026-05-31,Mobile App,ONLINE,Credit Card,1,1,16.86,0.0,16.86,0
T200048,C10006,2026-06-11,Mobile App,ONLINE,Credit Card,1,1,487.04,0.0,487.04,0
T200049,C10007,2026-02-21,In-Store,ST004,Credit Card,3,8,2641.76,512.89,2128.87,0
T200050,C10007,2026-03-31,Mobile App,ONLINE,Mobile Banking,4,9,1172.52,24.37,1148.15,0
T200051,C10007,2026-04-17,Mobile App,ONLINE,Mobile Banking,5,16,1698.3,87.36,1610.94,0
T200052,C10007,2026-05-23,Mobile App,ONLINE,Credit Card,7,11,2087.57,174.66,1912.91,0
T200053,C10007,2026-08-30,Mobile App,ONLINE,Credit Card,4,8,2821.68,223.31,2598.37,0
T200054,C10008,2026-06-05,Online Web,ONLINE,Credit Card,3,6,2452.69,0.0,2452.69,0
T200055,C10008,2026-07-04,Online Web,ONLINE,Credit Card,5,6,653.1,66.27,586.83,0
T200056,C10009,2026-02-05,In-Store,ST017,Mobile Banking,3,4,573.65,0.0,573.65,0
T200057,C10009,2026-03-04,In-Store,ST008,Credit Card,1,2,197.78,0.0,197.78,0
T200058,C10009,2026-06-16,In-Store,ST017,Mobile Banking,3,7,1026.98,210.74,816.24,0
T200059,C10009,2026-07-28,In-Store,ST011,Mobile Banking,1,3,317.43,0.0,317.43,0
T200060,C10010,2025-05-28,Mobile App,ONLINE,e-Wallet,2,2,214.82,21.490000000000002,193.33,0
T200061,C10010,2025-06-26,Mobile App,ONLINE,Credit Card,3,3,481.49,14.37,467.12,0
T200062,C10010,2025-07-14,Mobile App,ONLINE,e-Wallet,6,10,1065.55,57.21,1008.34,0
T200063,C10010,2025-08-05,Mobile App,ONLINE,Mobile Banking,5,6,995.96,160.98000000000002,834.98,0
T200064,C10010,2025-09-09,Mobile App,ONLINE,Mobile Banking,3,4,412.95,61.94,351.01,0
T200065,C10010,2025-11-03,In-Store,ST020,Credit Card,3,6,441.32,14.44,426.88,0
T200066,C10010,2025-11-13,Mobile App,ONLINE,Mobile Banking,4,7,1152.24,9.46,1142.78,0
T200067,C10010,2025-12-17,Mobile App,ONLINE,Mobile Banking,2,6,499.4,52.28,447.12,0
T200068,C10010,2025-12-21,Mobile App,ONLINE,Credit Card,4,8,696.43,167.92000000000002,528.51,0
T200069,C10010,2025-12-29,Mobile App,ONLINE,Credit Card,8,13,1484.12,171.74,1312.38,0
T200070,C10010,2026-01-03,Mobile App,ONLINE,Cash,9,19,1319.01,108.84,1210.17,0
T200071,C10010,2026-02-15,Mobile App,ONLINE,Credit Card,8,10,815.29,59.730000000000004,755.56,0
T200072,C10010,2026-04-19,Mobile App,ONLINE,e-Wallet,3,6,1401.12,11.78,1389.34,0
T200073,C10010,2026-04-20,Mobile App,ONLINE,Credit Card,5,10,694.48,45.93,648.55,0
T200074,C10010,2026-05-04,Mobile App,ONLINE,Mobile Banking,5,7,632.85,111.85,521.0,0
T200075,C10011,2025-03-15,In-Store,ST004,Credit Card,3,7,1045.13,48.78,996.35,0
T200076,C10011,2025-04-05,In-Store,ST006,Credit Card,3,7,462.31,0.0,462.31,0
T200077,C10011,2025-05-26,Online Web,ONLINE,Credit Card,2,5,449.44,0.0,449.44,0
T200078,C10011,2025-07-04,In-Store,ST024,Credit Card,4,6,990.92,0.0,990.92,0
T200079,C10011,2025-07-24,In-Store,ST001,Mobile Banking,3,5,449.62,99.91,349.71,0
T200080,C10011,2025-11-26,In-Store,ST022,Mobile Banking,4,8,1582.59,0.0,1582.59,0
T200081,C10011,2025-11-29,In-Store,ST018,Credit Card,6,12,3126.13,59.7,3066.43,0
T200082,C10011,2026-01-25,In-Store,ST025,Cash,1,3,317.79,0.0,317.79,0
T200083,C10011,2026-02-06,In-Store,ST017,Mobile Banking,4,9,628.39,17.76,610.63,0
T200084,C10011,2026-02-18,In-Store,ST009,e-Wallet,2,7,611.12,40.63,570.49,0
T200085,C10011,2026-02-27,Online Web,ONLINE,Credit Card,3,4,444.02,0.0,444.02,0
T200086,C10011,2026-03-22,In-Store,ST015,Credit Card,6,8,1105.59,0.0,1105.59,0
T200087,C10011,2026-03-29,In-Store,ST021,Credit Card,3,4,600.96,32.6,568.36,0
T200088,C10011,2026-04-25,In-Store,ST003,Cash,3,9,577.36,0.0,577.36,0
T200089,C10011,2026-06-20,In-Store,ST010,e-Wallet,5,9,1362.03,30.9,1331.13,0
T200090,C10011,2026-08-10,In-Store,ST015,Credit Card,5,12,3320.78,11.49,3309.29,0
T200091,C10011,2026-08-17,In-Store,ST002,Cash,6,15,1140.55,28.400000000000002,1112.15,0
T200092,C10011,2026-08-18,Mobile App,ONLINE,Credit Card,3,7,500.31,0.0,500.31,0
T200093,C10012,2025-10-07,Mobile App,ONLINE,Credit Card,2,4,423.89,0.0,423.89,0
T200094,C10012,2025-12-13,Mobile App,ONLINE,Mobile Banking,1,1,28.39,5.68,22.71,0
T200095,C10012,2025-12-19,Mobile App,ONLINE,e-Wallet,2,4,261.06,0.0,261.06,0
T200096,C10012,2025-12-20,Mobile App,ONLINE,e-Wallet,3,7,1522.48,0.0,1522.48,0
T200097,C10012,2026-02-27,Mobile App,ONLINE,Mobile Banking,1,1,25.74,3.86,21.88,0
T200098,C10012,2026-03-07,Mobile App,ONLINE,Credit Card,3,4,602.68,72.65,530.03,0
T200099,C10012,2026-06-23,Mobile App,ONLINE,Credit Card,8,12,790.87,34.64,756.23,0
T200100,C10012,2026-07-03,Online Web,ONLINE,e-Wallet,5,11,986.86,50.56,936.3,0
T200101,C10013,2024-12-22,In-Store,ST001,Mobile Banking,10,19,2844.7,64.88,2779.82,0
T200102,C10013,2025-02-01,Mobile App,ONLINE,Credit Card,3,9,632.46,20.6,611.86,0
T200103,C10013,2025-03-15,In-Store,ST025,Cash,5,9,1624.39,0.0,1624.39,0
T200104,C10013,2025-03-22,In-Store,ST012,Cash,9,21,3832.48,194.60999999999999,3637.87,0
T200105,C10013,2025-03-26,In-Store,ST001,Cash,2,4,1044.76,0.0,1044.76,0
T200106,C10013,2025-05-08,In-Store,ST004,Credit Card,9,17,4352.78,127.99000000000001,4224.79,0
T200107,C10013,2025-05-09,In-Store,ST018,Cash,10,15,2971.98,59.94,2912.04,0
T200108,C10013,2025-05-18,In-Store,ST024,Credit Card,5,9,1267.44,48.83,1218.61,0
T200109,C10013,2025-07-04,Mobile App,ONLINE,Mobile Banking,5,8,2194.37,0.0,2194.37,0
T200110,C10013,2025-07-12,In-Store,ST009,e-Wallet,4,9,4710.17,0.0,4710.17,0
T200111,C10013,2025-09-16,Online Web,ONLINE,Credit Card,3,3,232.72,3.85,228.87,0
T200112,C10013,2025-09-18,In-Store,ST023,Cash,4,8,1128.28,21.18,1107.1,0
T200113,C10013,2025-10-22,In-Store,ST005,Cash,7,15,1867.64,0.0,1867.64,0
T200114,C10013,2025-10-23,In-Store,ST020,Cash,8,17,2131.24,37.58,2093.66,0
T200115,C10013,2025-12-16,Online Web,ONLINE,Mobile Banking,3,4,370.39,32.43,337.96,0
T200116,C10013,2025-12-21,In-Store,ST009,Cash,4,7,1376.97,75.91,1301.06,0
T200117,C10013,2026-01-12,In-Store,ST018,Credit Card,3,6,567.73,66.58,501.15,0
T200118,C10013,2026-01-18,In-Store,ST014,e-Wallet,2,2,834.22,0.0,834.22,0
T200119,C10013,2026-01-24,In-Store,ST008,Cash,4,7,2020.6,310.92,1709.68,0
T200120,C10013,2026-03-01,In-Store,ST013,Cash,4,5,575.51,12.96,562.55,0
T200121,C10013,2026-04-27,In-Store,ST023,Cash,7,16,2521.24,0.0,2521.24,0
T200122,C10014,2025-09-09,Mobile App,ONLINE,Mobile Banking,6,10,1167.93,106.29,1061.64,0
T200123,C10014,2025-09-14,Mobile App,ONLINE,Credit Card,5,11,2084.33,131.34,1952.99,0
T200124,C10014,2025-10-02,Mobile App,ONLINE,Mobile Banking,5,7,1033.74,16.58,1017.16,0
T200125,C10014,2025-10-04,Online Web,ONLINE,e-Wallet,3,7,1440.67,0.0,1440.67,0
T200126,C10014,2025-10-12,Mobile App,ONLINE,Mobile Banking,3,7,645.9,0.0,645.9,0
T200127,C10014,2025-10-21,Mobile App,ONLINE,Credit Card,5,10,881.31,72.76,808.55,0
T200128,C10014,2025-11-25,Online Web,ONLINE,Mobile Banking,5,8,2118.51,322.54,1795.97,0
T200129,C10014,2025-12-02,Mobile App,ONLINE,Credit Card,6,11,5161.58,0.0,5161.58,0
T200130,C10014,2025-12-06,Mobile App,ONLINE,Credit Card,6,9,2110.89,4.99,2105.9,0
T200131,C10014,2025-12-16,Mobile App,ONLINE,Mobile Banking,5,10,1269.79,0.0,1269.79,0
T200132,C10014,2025-12-31,Mobile App,ONLINE,Credit Card,2,5,342.23,0.0,342.23,0
T200133,C10014,2026-01-10,Mobile App,ONLINE,Credit Card,1,2,99.98,0.0,99.98,0
T200134,C10014,2026-01-28,Mobile App,ONLINE,Credit Card,4,5,622.66,0.0,622.66,0
T200135,C10014,2026-02-19,Mobile App,ONLINE,e-Wallet,9,12,1614.92,85.58,1529.34,0
T200136,C10014,2026-02-25,Mobile App,ONLINE,Mobile Banking,3,6,663.51,0.0,663.51,0
T200137,C10014,2026-03-06,Mobile App,ONLINE,Credit Card,3,6,494.45,10.06,484.39,0
T200138,C10014,2026-03-10,Mobile App,ONLINE,Mobile Banking,5,12,943.65,51.82,891.83,0
T200139,C10014,2026-03-11,Mobile App,ONLINE,Credit Card,4,8,403.15,15.74,387.41,0
T200140,C10014,2026-04-01,Mobile App,ONLINE,Mobile Banking,9,22,2959.31,243.55,2715.76,0
T200141,C10014,2026-04-02,Mobile App,ONLINE,Credit Card,4,9,961.65,0.0,961.65,0
T200142,C10014,2026-04-06,Mobile App,ONLINE,Mobile Banking,6,10,1986.21,263.72999999999996,1722.48,0
T200143,C10014,2026-04-15,Mobile App,ONLINE,Mobile Banking,4,9,1230.85,16.93,1213.92,0
T200144,C10014,2026-06-17,Mobile App,ONLINE,Mobile Banking,3,7,1369.98,91.84,1278.14,0
T200145,C10014,2026-06-19,In-Store,ST016,Credit Card,3,5,1594.99,0.0,1594.99,0
T200146,C10014,2026-06-21,In-Store,ST005,Credit Card,5,9,1858.89,12.13,1846.76,0
T200147,C10014,2026-06-26,Mobile App,ONLINE,Credit Card,3,7,646.33,50.05,596.28,0
T200148,C10014,2026-07-01,Mobile App,ONLINE,Credit Card,3,5,1276.54,21.82,1254.72,0
T200149,C10014,2026-07-06,Mobile App,ONLINE,Credit Card,7,14,1899.47,19.95,1879.52,0
T200150,C10014,2026-08-02,Mobile App,ONLINE,e-Wallet,4,8,1516.77,0.0,1516.77,0
T200151,C10014,2026-08-06,Mobile App,ONLINE,e-Wallet,7,18,3103.06,461.41,2641.65,0
T200152,C10014,2026-08-13,Online Web,ONLINE,Credit Card,7,21,2683.13,0.0,2683.13,0
T200153,C10014,2026-08-28,Mobile App,ONLINE,Credit Card,6,14,1168.97,13.56,1155.41,0
T200154,C10015,2025-04-18,In-Store,ST012,Credit Card,1,1,37.52,0.0,37.52,0
T200155,C10015,2025-05-28,In-Store,ST003,e-Wallet,1,2,155.2,0.0,155.2,0
T200156,C10015,2025-07-11,In-Store,ST020,Credit Card,2,4,434.21,81.62,352.59,0
T200157,C10015,2025-08-24,In-Store,ST002,Cash,3,4,327.12,0.0,327.12,0
T200158,C10015,2025-08-29,In-Store,ST020,Credit Card,1,4,59.56,17.87,41.69,0
T200159,C10015,2025-08-30,Mobile App,ONLINE,e-Wallet,3,3,176.71,0.0,176.71,0
T200160,C10015,2025-10-11,In-Store,ST018,Mobile Banking,4,9,695.31,0.0,695.31,0
T200161,C10015,2025-10-25,In-Store,ST008,e-Wallet,3,4,905.77,0.0,905.77,0
T200162,C10015,2025-11-11,In-Store,ST019,Credit Card,7,19,1753.32,80.76,1672.56,0
T200163,C10015,2026-01-25,In-Store,ST019,e-Wallet,1,1,59.56,11.91,47.65,0
T200164,C10015,2026-02-15,In-Store,ST015,Mobile Banking,6,11,971.89,60.8,911.09,0
T200165,C10015,2026-03-03,In-Store,ST004,Mobile Banking,2,4,281.86,27.91,253.95,0
T200166,C10015,2026-03-29,In-Store,ST011,Cash,3,7,561.8,0.0,561.8,0
T200167,C10015,2026-05-11,Mobile App,ONLINE,Credit Card,1,2,1528.44,0.0,1528.44,0
T200168,C10015,2026-06-10,In-Store,ST002,Mobile Banking,3,4,211.12,23.590000000000003,187.53,0
T200169,C10015,2026-06-12,In-Store,ST007,e-Wallet,2,2,128.31,19.25,109.06,0
T200170,C10016,2024-11-06,In-Store,ST007,e-Wallet,3,8,1023.44,103.4,920.04,0
T200171,C10016,2024-12-10,In-Store,ST013,Credit Card,8,21,2255.74,301.45000000000005,1954.29,0
T200172,C10016,2024-12-11,In-Store,ST010,Mobile Banking,4,6,1546.81,150.85,1395.96,0
T200173,C10016,2024-12-16,In-Store,ST010,Credit Card,4,6,1154.09,41.4,1112.69,0
T200174,C10016,2025-01-08,Online Web,ONLINE,Credit Card,5,10,1335.15,12.39,1322.76,0
T200175,C10016,2025-02-21,In-Store,ST011,Mobile Banking,5,11,1599.74,187.0,1412.74,0
T200176,C10016,2025-05-31,In-Store,ST006,Credit Card,6,8,840.53,72.53999999999999,767.99,0
T200177,C10016,2025-06-09,In-Store,ST018,e-Wallet,4,8,1693.92,433.69,1260.23,0
T200178,C10016,2025-06-29,In-Store,ST019,Credit Card,4,7,537.12,94.98,442.14,0
T200179,C10016,2025-07-05,Mobile App,ONLINE,Credit Card,4,8,1979.41,359.89,1619.52,0
T200180,C10016,2025-07-06,In-Store,ST018,Cash,4,10,2086.67,397.74,1688.93,0
T200181,C10016,2025-07-07,In-Store,ST005,e-Wallet,4,7,286.04,0.0,286.04,0
T200182,C10016,2025-07-20,In-Store,ST014,Cash,5,11,1257.12,129.01999999999998,1128.1,0
T200183,C10016,2025-08-25,In-Store,ST006,Credit Card,3,5,590.95,91.75,499.2,0
T200184,C10016,2025-09-30,In-Store,ST011,e-Wallet,5,8,1150.37,62.97,1087.4,0
T200185,C10016,2025-10-07,In-Store,ST020,Credit Card,6,10,1602.82,164.60999999999999,1438.21,0
T200186,C10016,2025-10-10,In-Store,ST010,e-Wallet,5,8,634.81,34.47,600.34,0
T200187,C10016,2025-10-15,In-Store,ST015,Credit Card,5,7,840.6,90.09,750.51,0
T200188,C10016,2025-11-29,In-Store,ST009,e-Wallet,6,11,2007.1,35.12,1971.98,0
T200189,C10016,2025-12-25,Mobile App,ONLINE,Mobile Banking,7,13,1798.42,217.25,1581.17,0
T200190,C10016,2026-01-19,In-Store,ST025,e-Wallet,3,6,921.8,8.64,913.16,0
T200191,C10016,2026-01-25,Online Web,ONLINE,Mobile Banking,3,6,818.24,78.33000000000001,739.91,0
T200192,C10016,2026-04-01,In-Store,ST023,Cash,5,13,1870.43,76.28,1794.15,0
T200193,C10016,2026-04-07,In-Store,ST022,Credit Card,6,15,3347.14,480.99,2866.15,0
T200194,C10017,2026-04-18,In-Store,ST006,Cash,5,8,1786.09,88.91,1697.18,0
T200195,C10017,2026-05-18,In-Store,ST011,Credit Card,7,13,1959.44,8.57,1950.87,0
T200196,C10017,2026-07-15,In-Store,ST025,e-Wallet,6,10,3193.0,0.0,3193.0,0
T200197,C10017,2026-07-24,In-Store,ST012,Cash,3,3,447.26,5.66,441.6,0
T200198,C10017,2026-07-25,In-Store,ST025,Cash,2,5,493.06,0.0,493.06,0
T200199,C10017,2026-08-19,Mobile App,ONLINE,e-Wallet,6,11,700.18,0.0,700.18,0
T200200,C10018,2024-09-01,In-Store,ST011,Credit Card,11,20,3122.5,21.46,3101.04,0
T200201,C10018,2024-09-02,In-Store,ST016,Cash,11,19,2725.12,83.52000000000001,2641.6,0
T200202,C10018,2024-09-03,In-Store,ST020,Cash,4,9,2629.77,260.36,2369.41,0
T200203,C10018,2024-09-05,In-Store,ST004,Cash,6,10,1888.75,0.0,1888.75,0
T200204,C10018,2024-09-12,In-Store,ST009,Cash,12,21,3033.41,126.47,2906.94,0
T200205,C10018,2024-09-16,In-Store,ST010,e-Wallet,7,12,1576.64,0.0,1576.64,0
T200206,C10018,2024-10-01,In-Store,ST022,Credit Card,11,22,2746.77,28.8,2717.97,0
T200207,C10018,2024-10-05,In-Store,ST016,Mobile Banking,4,6,823.46,60.95,762.51,0
T200208,C10018,2024-10-07,In-Store,ST007,Cash,6,11,1679.01,91.77,1587.24,0
T200209,C10018,2024-10-11,In-Store,ST022,Cash,10,22,2827.47,98.51,2728.96,0
T200210,C10018,2024-10-13,In-Store,ST013,e-Wallet,12,22,4125.24,175.60999999999999,3949.63,0
T200211,C10018,2024-10-26,In-Store,ST002,e-Wallet,12,25,3323.77,160.42000000000002,3163.35,0
T200212,C10018,2024-11-02,In-Store,ST001,Credit Card,9,18,3054.83,18.54,3036.29,0
T200213,C10018,2024-11-06,In-Store,ST020,Mobile Banking,9,18,2021.82,69.39,1952.43,0
T200214,C10018,2024-11-07,In-Store,ST004,e-Wallet,8,14,1638.91,0.0,1638.91,0
T200215,C10018,2024-11-13,Online Web,ONLINE,Credit Card,8,14,6952.54,115.62,6836.92,0
T200216,C10018,2024-11-20,Online Web,ONLINE,Mobile Banking,6,14,1544.62,75.83,1468.79,0
T200217,C10018,2024-12-02,In-Store,ST005,e-Wallet,11,23,3407.29,0.0,3407.29,0
T200218,C10018,2024-12-08,In-Store,ST004,Cash,7,13,1231.38,80.78,1150.6,0
T200219,C10018,2024-12-14,In-Store,ST009,Cash,7,11,2788.53,19.55,2768.98,0
T200220,C10018,2024-12-19,In-Store,ST015,Cash,12,20,5248.71,589.4399999999999,4659.27,0
T200221,C10018,2024-12-20,In-Store,ST001,e-Wallet,11,19,4503.82,59.03,4444.79,0
T200222,C10018,2024-12-27,Mobile App,ONLINE,Mobile Banking,7,15,1859.49,0.0,1859.49,0
T200223,C10018,2024-12-30,In-Store,ST007,Mobile Banking,11,28,8179.26,0.0,8179.26,0
T200224,C10018,2025-01-05,In-Store,ST018,Credit Card,12,28,5422.64,37.36,5385.28,0
T200225,C10018,2025-01-06,In-Store,ST014,Mobile Banking,10,16,2733.76,14.1,2719.66,0
T200226,C10018,2025-01-09,In-Store,ST018,Mobile Banking,9,18,2869.67,70.6,2799.07,0
T200227,C10018,2025-01-10,In-Store,ST012,Credit Card,8,14,2079.88,0.0,2079.88,0
T200228,C10018,2025-01-19,Online Web,ONLINE,Credit Card,4,7,2787.28,54.6,2732.68,0
T200229,C10018,2025-01-29,In-Store,ST002,Cash,7,12,1132.31,0.0,1132.31,0
T200230,C10018,2025-02-21,In-Store,ST019,Mobile Banking,7,17,1667.27,0.0,1667.27,0
T200231,C10018,2025-03-11,In-Store,ST018,Cash,8,15,2300.09,13.79,2286.3,0
T200232,C10018,2025-03-15,In-Store,ST001,e-Wallet,9,17,3245.49,0.0,3245.49,0
T200233,C10018,2025-04-14,In-Store,ST005,Mobile Banking,3,7,769.17,0.0,769.17,0
T200234,C10018,2025-04-21,In-Store,ST003,Cash,5,10,1963.8,0.0,1963.8,0
T200235,C10018,2025-04-26,In-Store,ST024,e-Wallet,3,8,1417.5,0.0,1417.5,0
T200236,C10018,2025-05-06,In-Store,ST022,Mobile Banking,6,13,2226.65,0.0,2226.65,0
T200237,C10018,2025-05-10,Online Web,ONLINE,Mobile Banking,7,13,2278.07,39.3,2238.77,0
T200238,C10018,2025-05-14,In-Store,ST017,Cash,13,22,4018.29,0.0,4018.29,0
T200239,C10018,2025-05-15,Online Web,ONLINE,Credit Card,7,15,3340.64,224.51,3116.13,0
T200240,C10018,2025-05-26,Online Web,ONLINE,Mobile Banking,9,22,2902.56,26.82,2875.74,0
T200241,C10018,2025-06-02,In-Store,ST013,Cash,6,11,1821.42,45.25,1776.17,0
T200242,C10018,2025-06-04,In-Store,ST019,Credit Card,7,15,3183.3,242.70000000000002,2940.6,0
T200243,C10018,2025-06-26,In-Store,ST025,Mobile Banking,5,10,856.07,0.0,856.07,0
T200244,C10018,2025-07-04,In-Store,ST016,e-Wallet,8,15,2052.95,175.25,1877.7,0
T200245,C10018,2025-07-30,In-Store,ST022,e-Wallet,11,26,3975.3,74.03,3901.27,0
T200246,C10018,2025-08-01,In-Store,ST009,Mobile Banking,8,16,3099.3,12.74,3086.56,0
T200247,C10018,2025-08-06,In-Store,ST016,Mobile Banking,12,23,4289.02,202.39,4086.63,0
T200248,C10018,2025-08-09,In-Store,ST001,Cash,10,18,2622.02,151.45,2470.57,0
T200249,C10018,2025-08-13,In-Store,ST018,Cash,7,13,4772.17,291.33,4480.84,0
T200250,C10018,2025-08-24,In-Store,ST018,Cash,6,10,1332.02,0.0,1332.02,0
T200251,C10018,2025-08-26,In-Store,ST003,Cash,6,13,1784.88,33.62,1751.26,0
T200252,C10018,2025-08-29,In-Store,ST017,Mobile Banking,5,9,2129.97,134.12,1995.85,0
T200253,C10018,2025-09-11,In-Store,ST006,Cash,7,11,1448.79,80.66,1368.13,0
T200254,C10018,2025-09-24,In-Store,ST005,Credit Card,8,14,3532.56,36.39,3496.17,0
T200255,C10018,2025-09-29,In-Store,ST018,Credit Card,8,12,2065.29,0.0,2065.29,0
T200256,C10018,2025-10-03,In-Store,ST012,e-Wallet,6,9,2755.42,0.0,2755.42,0
T200257,C10018,2025-10-04,Mobile App,ONLINE,Credit Card,11,22,3167.22,29.32,3137.9,0
T200258,C10018,2025-10-09,In-Store,ST014,Mobile Banking,9,20,2470.77,24.92,2445.85,0
T200259,C10018,2025-10-10,In-Store,ST012,e-Wallet,12,23,2962.49,40.96,2921.53,0
T200260,C10018,2025-10-13,In-Store,ST011,Credit Card,11,24,4231.14,29.53,4201.61,0
T200261,C10018,2025-10-23,In-Store,ST005,Credit Card,5,10,2069.07,45.199999999999996,2023.87,0
T200262,C10018,2025-10-27,In-Store,ST015,Credit Card,2,6,579.18,145.71,433.47,0
T200263,C10018,2025-11-03,In-Store,ST004,Cash,9,15,2308.33,5.19,2303.14,0
T200264,C10018,2025-11-08,In-Store,ST001,Cash,9,15,2256.3,14.34,2241.96,0
T200265,C10018,2025-11-11,In-Store,ST005,Credit Card,8,18,2715.18,77.31,2637.87,0
T200266,C10018,2025-11-16,In-Store,ST018,e-Wallet,9,16,2929.33,156.41,2772.92,0
T200267,C10018,2025-12-06,In-Store,ST025,Mobile Banking,9,17,1750.65,109.15,1641.5,0
T200268,C10018,2025-12-07,In-Store,ST011,Credit Card,7,13,2185.59,0.0,2185.59,0
T200269,C10018,2025-12-12,In-Store,ST001,Credit Card,8,19,2932.49,21.4,2911.09,0
T200270,C10018,2025-12-22,In-Store,ST006,Credit Card,7,15,1976.76,38.98,1937.78,0
T200271,C10018,2025-12-27,Mobile App,ONLINE,e-Wallet,9,12,2075.77,0.0,2075.77,0
