customer_id,signup_date,gender,age,region,city_tier,income_bracket,membership_tier,preferred_channel,marketing_optin,has_mobile_app
C10066,2024-09-28,Male,38.0,Bangkok,1,20-40k,Gold,Mobile App,1,1
C10067,2024-08-21,Female,30.0,East,1,70-120k,Silver,In-Store,1,0
C10068,2025-03-16,Female,32.0,Bangkok,1,70-120k,Platinum,In-Store,1,0
C10069,2024-10-26,Female,41.0,South,3,40-70k,Silver,Mobile App,0,1
C10070,2025-01-29,F,,Central,1,20-40k,Silver,In-Store,0,0
C10071,2024-11-17,Female,27.0,Northeast,3,,Silver,In-Store,0,1
C10072,2026-04-21,F,41.0,East,1,20-40k,Bronze,Mobile App,1,1
C10073,2024-10-23,Male,31.0,Central,2,20-40k,Gold,In-Store,1,0
C10074,2024-10-11,Male,18.0,Central,1,40-70k,Gold,In-Store,1,0
C10075,2024-12-14,M,39.0,Northeast,1,>120k,Silver,In-Store,0,1
C10076,2026-01-07,Female,30.0,North,3,70-120k,Silver,In-Store,1,1
C10077,2024-08-31,Male,38.0,Bangkok,2,40-70k,Silver,Online Web,0,1
C10078,2025-02-28,Female,33.0,South,3,70-120k,Silver,In-Store,0,1
C10079,2024-12-10,Female,33.0,Bangkok,3,<20k,Bronze,Online Web,1,0
C10080,2025-03-02,Male,24.0,Central,1,<20k,Silver,In-Store,1,0
C10081,2025-09-06,Female,40.0,Bangkok,1,<20k,Platinum,In-Store,1,0
C10082,2025-04-04,F,37.0,Bangkok,1,<20k,Bronze,In-Store,1,0
C10083,2024-10-02,Female,33.0,North,2,20-40k,Bronze,In-Store,1,0
C10084,2024-11-22,M,56.0,Central,2,40-70k,Platinum,Online Web,1,1
C10085,2025-09-22,Male,23.0,Bangkok,3,20-40k,Silver,Online Web,0,1
C10086,2025-11-08,Female,29.0,Bangkok,2,40-70k,Bronze,In-Store,1,0
C10087,2025-06-14,Female,46.0,Bangkok,2,,Silver,In-Store,1,0
C10088,2025-08-11,Female,47.0,Northeast,1,20-40k,Gold,Mobile App,0,0
C10089,2026-02-07,Female,28.0,Bangkok,3,40-70k,Silver,Online Web,1,0
C10090,2026-06-01,Female,37.0,Bangkok,2,20-40k,Silver,Mobile App,0,1
C10091,2025-08-14,F,39.0,Northeast,1,>120k,Gold,Mobile App,1,0
C10092,2025-04-20,Female,43.0,Central,1,>120k,Gold,In-Store,0,1
C10093,2025-06-20,Male,19.0,Bangkok,2,<20k,Silver,In-Store,1,0
C10094,2026-04-09,male,27.0,Bangkok,2,20-40k,Bronze,In-Store,0,0
C10095,2025-03-28,Female,26.0,Bangkok,1,20-40k,Silver,In-Store,0,0
C10096,2025-11-12,Male,34.0,East,2,,Silver,In-Store,1,0
C10097,2025-08-28,Male,34.0,North,2,40-70k,Gold,In-Store,0,1
C10098,2025-11-01,M,46.0,Bangkok,2,40-70k,Bronze,In-Store,0,0
C10099,2026-04-24,Male,31.0,Central,3,>120k,Bronze,In-Store,1,0
C10100,2025-05-15,F,21.0,Bangkok,2,40-70k,Silver,In-Store,0,1
C10101,2025-04-10,F,57.0,Bangkok,1,40-70k,Silver,Online Web,1,0
C10102,2025-04-19,Male,30.0,North,2,>120k,Gold,In-Store,0,0
C10103,2024-08-16,Male,41.0,Bangkok,1,70-120k,Platinum,In-Store,1,1
C10104,2025-10-17,Male,37.0,Central,2,,Bronze,Mobile App,1,1
C10105,2025-01-08,F,26.0,Central,1,20-40k,Bronze,In-Store,1,1
C10106,2025-04-29,F,27.0,North,2,20-40k,Silver,Online Web,1,0
C10107,2025-12-20,Male,41.0,North,3,20-40k,Bronze,Mobile App,1,1
C10108,2024-12-29,Female,23.0,Bangkok,1,20-40k,Silver,In-Store,1,0
C10109,2024-12-26,Male,39.0,Bangkok,2,20-40k,Silver,Online Web,1,0
C10110,2026-05-19,F,20.0,Central,1,<20k,Bronze,In-Store,1,1
C10111,2025-02-17,Female,37.0,South,3,>120k,Gold,In-Store,1,1
C10112,2026-01-31,Female,27.0,North,1,40-70k,Silver,In-Store,0,0
C10113,2025-06-21,M,44.0,Central,1,<20k,Gold,In-Store,1,0
C10114,2026-05-03,Female,19.0,South,2,40-70k,Gold,In-Store,1,1
C10115,2024-09-09,male,28.0,North,3,20-40k,Bronze,In-Store,1,1
C10116,2025-04-19,male,21.0,Central,2,20-40k,Bronze,In-Store,0,0
C10117,2025-02-18,Female,18.0,Bangkok,1,40-70k,Gold,Online Web,0,0
C10118,2025-03-22,Female,31.0,Central,2,20-40k,Silver,In-Store,1,1
C10119,2024-09-28,Female,51.0,North,1,,Platinum,In-Store,1,0
C10120,2025-06-04,Male,38.0,Bangkok,1,40-70k,Gold,Mobile App,1,0
C10121,2026-05-06,Female,,Bangkok,1,<20k,Bronze,Mobile App,1,1
C10122,2025-06-16,Female,,Bangkok,2,20-40k,Bronze,In-Store,1,0
C10123,2024-10-29,M,18.0,North,2,20-40k,Gold,In-Store,1,1
C10124,2025-03-14,Male,30.0,East,1,>120k,Gold,In-Store,1,0
C10125,2024-12-08,M,25.0,North,1,40-70k,Gold,In-Store,1,0
C10126,2025-06-11,F,,South,1,20-40k,Silver,Mobile App,1,1
C10127,2025-01-16,Male,35.0,Bangkok,2,40-70k,Silver,Online Web,1,1
C10128,2024-12-20,Male,36.0,Northeast,2,<20k,Silver,In-Store,0,1
C10129,2025-09-09,F,42.0,Northeast,1,40-70k,Gold,In-Store,1,1
C10130,2025-01-29,Female,23.0,Northeast,1,70-120k,Platinum,Mobile App,1,1
C10131,2024-09-12,Female,25.0,East,3,20-40k,Gold,In-Store,1,0
C10132,2025-03-14,Female,43.0,,2,>120k,Gold,In-Store,1,0
C10133,2024-10-25,Male,34.0,Northeast,3,>120k,Gold,In-Store,1,0
C10134,2025-05-21,F,37.0,North,1,<20k,Bronze,Online Web,1,1
C10135,2026-05-27,M,31.0,Northeast,2,20-40k,Silver,Mobile App,1,0
C10136,2024-11-22,Female,30.0,Bangkok,1,70-120k,Gold,In-Store,1,0
C10137,2025-06-12,F,46.0,Bangkok,3,20-40k,Gold,Mobile App,0,0
C10138,2025-04-15,Male,44.0,Bangkok,2,40-70k,Gold,In-Store,1,0
C10139,2026-06-17,F,18.0,Central,1,40-70k,Silver,In-Store,0,1
C10140,2025-01-06,Male,58.0,East,2,40-70k,Silver,In-Store,1,1
C10141,2025-01-21,M,56.0,Northeast,2,20-40k,Silver,Online Web,0,0
C10142,2025-02-11,Female,30.0,East,1,40-70k,Silver,Online Web,0,0
C10143,2026-04-09,female,44.0,Bangkok,2,<20k,Bronze,Mobile App,1,0
C10144,2024-12-08,Female,29.0,North,1,70-120k,Gold,In-Store,0,0
C10145,2025-05-29,Male,32.0,South,1,,Bronze,In-Store,1,0
C10146,2026-06-15,Female,24.0,Bangkok,1,,Silver,In-Store,0,1
C10147,2024-11-19,Male,18.0,East,1,70-120k,Bronze,In-Store,1,0
C10148,2025-02-08,Female,28.0,Bangkok,2,20-40k,Silver,In-Store,0,1
C10149,2024-09-22,Male,39.0,Bangkok,1,70-120k,Platinum,In-Store,1,0
C10150,2025-04-11,Male,,Northeast,3,40-70k,Platinum,In-Store,1,0
C10151,2025-10-31,M,34.0,Northeast,2,40-70k,Gold,Mobile App,0,1
C10152,2025-11-26,Male,32.0,,1,70-120k,Bronze,In-Store,1,0
C10153,2025-05-14,Female,38.0,Northeast,3,20-40k,Silver,In-Store,1,0
C10154,2025-04-04,Female,58.0,Bangkok,1,40-70k,Platinum,Mobile App,0,1
C10155,2026-02-19,Female,24.0,East,1,40-70k,Silver,In-Store,0,0
C10156,2025-02-26,F,44.0,Northeast,2,70-120k,Platinum,Mobile App,1,1
C10157,2025-09-12,Male,42.0,South,3,<20k,Silver,Mobile App,0,1
C10158,2024-10-04,Male,18.0,South,1,>120k,Gold,Mobile App,1,1
C10159,2025-02-19,Male,27.0,Bangkok,3,70-120k,Bronze,In-Store,1,0
C10160,2025-03-03,F,35.0,Bangkok,2,40-70k,Gold,Mobile App,0,1
C10161,2025-01-05,female,36.0,Central,3,20-40k,Silver,Mobile App,0,1
C10162,2026-03-12,M,23.0,Central,3,20-40k,Bronze,In-Store,0,0
C10163,2025-07-23,M,43.0,East,1,20-40k,Silver,Mobile App,0,1
C10164,2024-08-26,Male,40.0,Bangkok,3,20-40k,Gold,In-Store,1,0
C10165,2026-06-13,Male,31.0,Bangkok,2,20-40k,Bronze,Mobile App,1,1
C10166,2025-02-12,Male,34.0,North,2,<20k,Silver,In-Store,0,1
C10167,2024-09-16,Female,24.0,Northeast,2,70-120k,Silver,In-Store,0,1
C10168,2026-06-10,F,31.0,Bangkok,1,40-70k,Bronze,Mobile App,0,1
C10169,2025-03-22,f,48.0,Bangkok,2,<20k,Silver,In-Store,0,0
C10170,2025-07-26,Male,27.0,East,2,20-40k,Silver,Mobile App,1,1
C10171,2026-01-29,male,,Central,1,<20k,Bronze,Online Web,1,1
C10172,2024-09-10,Female,22.0,,1,70-120k,Platinum,Mobile App,0,1
C10173,2025-06-15,Female,36.0,South,2,70-120k,Bronze,In-Store,0,0
C10174,2025-07-03,Female,35.0,Bangkok,1,20-40k,Gold,Online Web,1,0
C10175,2026-01-13,M,18.0,East,1,40-70k,Bronze,In-Store,0,0
C10176,2024-08-31,female,35.0,Bangkok,2,,Gold,Online Web,1,0
C10177,2024-10-06,F,29.0,South,1,20-40k,Bronze,Mobile App,1,0
C10178,2025-03-14,Female,25.0,Northeast,1,<20k,Bronze,In-Store,0,0
C10179,2024-08-29,F,24.0,Northeast,3,20-40k,Silver,In-Store,0,1
C10180,2025-07-11,Male,33.0,Central,1,20-40k,Silver,Mobile App,0,0
C10181,2026-05-04,M,22.0,Bangkok,1,20-40k,Bronze,In-Store,0,0
C10182,2025-06-23,Female,37.0,East,1,40-70k,Bronze,In-Store,1,1
C10183,2024-10-24,Male,29.0,Northeast,2,20-40k,Silver,In-Store,0,0
C10184,2025-06-26,Male,51.0,Bangkok,2,20-40k,Gold,In-Store,1,1
C10185,2026-02-25,M,21.0,South,2,,Gold,In-Store,0,0
C10186,2025-07-17,F,25.0,Bangkok,1,40-70k,Silver,Online Web,1,0
C10187,2025-03-28,male,41.0,Bangkok,3,70-120k,Gold,In-Store,0,1
C10188,2025-02-26,Male,22.0,Bangkok,2,40-70k,Silver,In-Store,0,1
C10189,2025-11-28,F,41.0,Northeast,2,<20k,Bronze,In-Store,1,0
C10190,2024-09-02,Female,35.0,East,3,<20k,Gold,In-Store,0,1
C10191,2026-02-14,female,33.0,Central,2,40-70k,Silver,In-Store,1,0
C10192,2025-02-26,Male,26.0,Bangkok,2,70-120k,Platinum,In-Store,1,0
C10193,2024-10-03,female,36.0,South,1,20-40k,Bronze,Online Web,1,0
C10194,2026-01-31,Female,46.0,Bangkok,3,40-70k,Bronze,Online Web,0,0
C10195,2024-10-01,Female,52.0,Central,3,<20k,Bronze,Online Web,1,1
C10196,2026-01-14,M,20.0,Northeast,3,40-70k,Gold,Mobile App,0,1
C10197,2024-12-31,Male,22.0,North,2,40-70k,Silver,In-Store,0,0
C10198,2025-07-18,F,39.0,South,2,70-120k,Silver,In-Store,1,1
C10199,2025-02-23,Male,30.0,Northeast,1,20-40k,Silver,Mobile App,1,1
C10200,2024-11-27,Female,48.0,Northeast,2,20-40k,Bronze,Online Web,1,0
C10201,2025-01-03,Male,33.0,Bangkok,2,,Bronze,Mobile App,1,1
C10202,2025-02-02,F,35.0,Northeast,2,40-70k,Platinum,In-Store,1,1
C10203,2025-06-26,f,18.0,Bangkok,1,40-70k,Bronze,In-Store,0,0
C10204,2025-01-25,F,43.0,Bangkok,1,>120k,Gold,In-Store,0,1
C10205,2025-12-14,Female,50.0,Central,3,20-40k,Bronze,In-Store,0,0
C10206,2025-05-23,F,48.0,North,3,40-70k,Gold,Mobile App,1,0
C10207,2024-09-16,Female,50.0,Northeast,2,<20k,Silver,Mobile App,0,1
C10208,2025-08-29,Female,58.0,Northeast,3,>120k,Gold,In-Store,1,0
C10209,2024-09-07,Female,30.0,East,1,40-70k,Silver,In-Store,1,0
C10210,2026-05-05,M,29.0,North,1,40-70k,Silver,In-Store,0,1
C10211,2025-07-23,F,37.0,Northeast,2,40-70k,Gold,Mobile App,1,0
C10212,2025-02-06,Male,34.0,Central,2,40-70k,Gold,Mobile App,1,1
C10213,2024-08-20,Female,28.0,Bangkok,2,70-120k,Platinum,In-Store,1,0
C10214,2024-09-22,F,49.0,Northeast,3,>120k,Silver,In-Store,1,1
C10215,2024-10-07,Female,41.0,Bangkok,2,70-120k,Silver,Mobile App,1,1
C10216,2025-07-04,Male,32.0,Northeast,1,40-70k,Gold,In-Store,1,0
C10217,2025-01-26,Male,21.0,Northeast,2,70-120k,Bronze,In-Store,1,1
C10218,2025-05-30,Male,44.0,Northeast,1,70-120k,Silver,In-Store,1,0
C10219,2025-05-30,male,41.0,Northeast,1,40-70k,Platinum,Mobile App,1,0
C10220,2025-03-10,Male,45.0,Bangkok,2,20-40k,Bronze,Online Web,0,0
C10221,2024-08-05,Female,23.0,Bangkok,2,40-70k,Silver,Mobile App,1,1
C10222,2024-09-20,Male,40.0,North,1,20-40k,Silver,In-Store,0,0
C10223,2026-04-12,Female,18.0,Bangkok,2,40-70k,Bronze,In-Store,1,1
C10224,2025-12-03,M,31.0,Central,1,40-70k,Bronze,In-Store,0,0
C10225,2025-04-28,Male,42.0,Bangkok,1,,Silver,In-Store,0,0
C10226,2025-01-01,Male,35.0,Bangkok,1,20-40k,Platinum,In-Store,1,1
C10227,2026-04-29,male,34.0,Central,1,40-70k,Bronze,In-Store,1,0
C10228,2026-01-27,Female,26.0,South,1,70-120k,Silver,Mobile App,0,1
C10229,2025-04-26,Female,21.0,North,1,40-70k,Silver,Mobile App,1,1
C10230,2025-08-05,Female,32.0,Northeast,1,40-70k,Silver,In-Store,1,1
C10231,2025-02-05,female,35.0,Northeast,2,>120k,Bronze,In-Store,1,0
C10232,2024-09-09,F,,East,2,<20k,Silver,Mobile App,1,1
C10233,2025-03-10,M,46.0,Bangkok,1,70-120k,Silver,In-Store,0,0
C10234,2025-06-03,F,36.0,Northeast,3,20-40k,Gold,Online Web,1,1
C10235,2024-08-14,Male,26.0,Central,3,20-40k,Silver,In-Store,1,1
C10236,2025-01-21,female,23.0,Central,1,70-120k,Platinum,Mobile App,0,1
C10237,2025-01-19,Male,27.0,Northeast,2,20-40k,Bronze,Mobile App,0,1
C10238,2024-11-14,M,34.0,Bangkok,1,,Gold,Mobile App,1,0
C10239,2025-04-25,Female,28.0,South,2,,Silver,In-Store,1,1
C10240,2026-03-31,male,36.0,South,1,,Silver,In-Store,1,0
C10241,2026-06-07,Female,18.0,Bangkok,1,20-40k,Silver,Online Web,1,0
C10242,2026-05-01,male,41.0,Central,2,20-40k,Platinum,In-Store,0,1
C10243,2024-09-24,F,37.0,East,2,20-40k,Silver,Mobile App,0,1
C10244,2026-04-26,F,18.0,Bangkok,2,20-40k,Bronze,Online Web,1,1
C10245,2024-12-07,Female,,Bangkok,2,40-70k,Bronze,In-Store,1,1
C10246,2024-09-29,F,35.0,Bangkok,2,20-40k,Bronze,In-Store,0,0
C10247,2024-08-08,F,31.0,East,2,40-70k,Platinum,In-Store,1,0
C10248,2026-06-14,Female,29.0,Bangkok,2,40-70k,Bronze,In-Store,1,1
C10249,2026-02-02,Male,,East,2,20-40k,Bronze,Mobile App,0,1
C10250,2025-05-20,f,41.0,Bangkok,2,20-40k,Silver,In-Store,0,0
C10251,2024-08-27,Female,51.0,Bangkok,2,20-40k,Bronze,In-Store,0,1
C10252,2024-09-11,Male,28.0,Bangkok,3,20-40k,Silver,Mobile App,0,1
C10253,2024-11-12,F,40.0,North,2,20-40k,Bronze,In-Store,1,0
C10254,2025-12-13,Male,31.0,Northeast,1,70-120k,Bronze,In-Store,0,1
C10255,2025-03-14,F,41.0,Northeast,1,20-40k,Gold,Mobile App,1,1
C10256,2026-01-14,Female,18.0,Bangkok,1,70-120k,Silver,In-Store,0,0
C10257,2026-04-25,Female,31.0,Bangkok,1,40-70k,Bronze,In-Store,1,0
C10258,2025-07-16,Male,33.0,Bangkok,2,20-40k,Bronze,Online Web,0,0
C10259,2026-01-20,Female,18.0,North,1,40-70k,Silver,In-Store,1,0
C10260,2024-09-01,Male,41.0,Bangkok,2,<20k,Bronze,Mobile App,0,1
C10261,2026-01-06,F,33.0,Bangkok,1,<20k,Bronze,In-Store,0,1
C10262,2025-05-06,Female,18.0,,1,20-40k,Platinum,In-Store,0,0
C10263,2025-01-22,Female,49.0,Northeast,2,70-120k,Gold,Mobile App,0,1
C10264,2025-02-23,Female,42.0,,1,40-70k,Bronze,In-Store,0,1
C10265,2026-03-15,Female,24.0,Bangkok,2,40-70k,Silver,Mobile App,0,1
C10266,2024-12-15,Female,28.0,East,2,20-40k,Bronze,In-Store,0,0
C10267,2025-03-29,Male,34.0,North,2,70-120k,Silver,Mobile App,0,1
C10268,2024-11-06,Female,26.0,South,1,70-120k,Gold,In-Store,1,1
C10269,2025-02-25,Male,48.0,Bangkok,2,70-120k,Bronze,Mobile App,1,1
C10270,2025-07-01,Female,30.0,Northeast,2,<20k,Bronze,Mobile App,1,1
C10271,2025-05-11,Male,49.0,Bangkok,1,>120k,Platinum,In-Store,0,1
C10272,2024-12-19,Female,40.0,Bangkok,1,40-70k,Silver,Mobile App,0,1
C10273,2025-04-28,F,36.0,Central,3,20-40k,Silver,In-Store,1,1
C10274,2025-09-07,F,25.0,Central,2,<20k,Bronze,In-Store,1,1
C10275,2025-05-05,Male,62.0,Bangkok,1,40-70k,Platinum,Online Web,1,0
C10276,2025-05-30,Male,18.0,Central,1,<20k,Silver,In-Store,0,0
C10277,2025-01-23,Male,,East,3,70-120k,Gold,Mobile App,1,1
C10278,2025-03-11,Male,40.0,East,1,40-70k,Platinum,Online Web,0,0
C10279,2025-09-10,Male,39.0,Bangkok,3,<20k,Silver,Mobile App,0,0
C10280,2025-08-20,Female,44.0,Central,1,40-70k,Platinum,Online Web,1,0
C10281,2025-05-23,Male,38.0,Northeast,1,70-120k,Silver,Mobile App,0,1
C10282,2025-08-14,Male,41.0,Central,3,40-70k,Gold,In-Store,1,1
C10283,2025-08-25,F,22.0,Northeast,1,20-40k,Silver,In-Store,0,0
C10284,2025-01-16,Male,28.0,Central,2,70-120k,Gold,In-Store,1,0
C10285,2026-04-11,M,34.0,South,2,70-120k,Silver,Mobile App,1,1
C10286,2024-08-12,Female,39.0,Bangkok,1,40-70k,Platinum,In-Store,1,1
C10287,2024-08-22,M,18.0,North,1,40-70k,Gold,Mobile App,1,1
C10288,2024-08-16,Female,45.0,Northeast,2,70-120k,Gold,Mobile App,1,0
C10289,2025-07-10,Male,24.0,Central,2,20-40k,Silver,In-Store,0,0
C10290,2025-03-08,Male,52.0,,1,>120k,Gold,In-Store,1,0
C10291,2025-01-22,M,32.0,East,2,70-120k,Gold,Mobile App,1,1
C10292,2025-11-19,male,,East,3,<20k,Bronze,Mobile App,0,1
C10293,2025-01-28,Female,24.0,South,2,40-70k,Silver,In-Store,0,1
C10294,2024-09-06,Male,28.0,South,2,<20k,Bronze,Online Web,1,0
C10295,2026-01-08,F,22.0,East,2,<20k,Bronze,In-Store,1,0
C10296,2025-03-07,Female,21.0,Bangkok,1,40-70k,Silver,Online Web,0,0
C10297,2024-11-26,Male,33.0,Bangkok,3,70-120k,Gold,Mobile App,1,0
C10298,2025-04-22,F,36.0,Bangkok,2,<20k,Platinum,Mobile App,1,1
C10299,2024-10-05,F,30.0,South,1,40-70k,Bronze,In-Store,1,0
C10300,2025-02-01,Male,28.0,Central,2,<20k,Silver,Online Web,0,1
C10301,2025-04-05,M,41.0,North,3,40-70k,Silver,In-Store,1,0
C10302,2024-11-07,Female,48.0,Northeast,3,40-70k,Gold,Online Web,1,1
C10303,2025-07-03,Male,47.0,Bangkok,1,40-70k,Silver,Online Web,0,1
C10304,2026-03-09,Male,31.0,Northeast,2,70-120k,Silver,In-Store,1,1
C10305,2024-08-06,Male,36.0,South,2,<20k,Bronze,Mobile App,1,0
C10306,2026-06-14,M,31.0,North,2,40-70k,Bronze,Mobile App,0,1
C10307,2024-08-11,F,42.0,Central,2,40-70k,Platinum,In-Store,1,1
C10308,2024-10-28,m,43.0,South,3,40-70k,Silver,In-Store,1,0
C10309,2025-09-25,F,36.0,Northeast,2,70-120k,Silver,In-Store,0,0
C10310,2024-12-02,M,28.0,Northeast,1,,Gold,In-Store,1,0
C10311,2024-10-08,Male,39.0,,1,20-40k,Silver,In-Store,0,1
C10312,2024-11-26,F,28.0,East,2,20-40k,Bronze,Mobile App,0,0
C10313,2025-04-30,Male,36.0,Northeast,3,20-40k,Silver,In-Store,1,0
C10314,2025-02-16,Female,25.0,Central,3,20-40k,Bronze,In-Store,1,0
C10315,2025-01-22,Male,36.0,Central,1,40-70k,Gold,In-Store,0,1
C10316,2026-05-20,Female,36.0,Bangkok,1,20-40k,Silver,In-Store,1,1
C10317,2025-03-16,Female,37.0,Bangkok,2,20-40k,Silver,In-Store,0,1
C10318,2025-04-18,F,36.0,South,1,20-40k,Silver,Mobile App,1,1
C10319,2025-03-15,Male,30.0,Bangkok,1,40-70k,Silver,Mobile App,1,1
C10320,2025-03-26,Male,33.0,Bangkok,2,40-70k,Gold,In-Store,1,1
C10321,2025-06-14,Female,18.0,North,1,<20k,Gold,In-Store,1,0
C10322,2024-10-08,Female,33.0,Bangkok,2,40-70k,Silver,In-Store,1,1
C10323,2025-07-06,F,43.0,,1,>120k,Bronze,Mobile App,0,1
C10324,2024-11-10,Male,28.0,South,2,70-120k,Silver,In-Store,1,1
C10325,2024-08-06,Male,32.0,Bangkok,2,,Silver,In-Store,1,0
C10326,2026-02-26,Male,29.0,Northeast,1,40-70k,Silver,Mobile App,1,0
C10327,2025-02-06,Female,33.0,Bangkok,1,<20k,Silver,Mobile App,1,0
C10328,2025-02-01,Female,41.0,Bangkok,1,<20k,Bronze,In-Store,1,0
C10329,2025-01-26,Male,37.0,South,2,20-40k,Gold,In-Store,0,1
C10330,2025-08-09,female,20.0,Bangkok,3,20-40k,Silver,In-Store,0,0
C10331,2026-02-20,f,34.0,Central,3,20-40k,Gold,Mobile App,1,0
C10332,2025-03-17,Female,18.0,Bangkok,3,40-70k,Silver,In-Store,0,1
