transaction_id,line_no,product_id,quantity,unit_price,discount_amount,line_amount
T200026,3,P1040,3,33.38,30.04,70.1
T200027,1,P1000,2,34.05,0.0,68.1
T200027,2,P1004,2,69.08,0.0,138.16
T200027,3,P1010,2,75.9,15.18,136.62
T200027,4,P1003,2,22.24,6.67,37.81
T200027,5,P1016,1,28.8,0.0,28.8
T200028,1,P1088,1,215.36,0.0,215.36
T200028,2,P1003,1,21.43,0.0,21.43
T200028,3,P1048,4,15.45,0.0,61.8
T200029,1,P1013,2,38.08,0.0,76.16
T200029,2,P1014,3,60.89,0.0,182.67
T200029,3,P1008,2,142.15,0.0,284.3
T200029,4,P1042,3,37.91,0.0,113.73
T200029,5,P1043,3,22.2,0.0,66.6
T200029,6,P1081,1,738.54,0.0,738.54
T200030,1,P1044,1,40.65,0.0,40.65
T200030,2,P1013,1,36.84,0.0,36.84
T200030,3,P1063,2,67.72,27.09,108.35
T200030,4,P1080,2,303.23,0.0,606.46
T200031,1,P1041,2,121.51,24.3,218.72
T200031,2,P1055,1,124.19,37.26,86.93
T200031,3,P1018,3,172.74,103.64,414.58
T200032,1,P1001,2,43.63,0.0,87.26
T200033,1,P1018,1,178.3,53.49,124.81
T200033,2,P1076,2,155.57,0.0,311.14
T200033,3,P1037,4,59.38,0.0,237.52
T200033,4,P1067,2,165.01,66.0,264.02
T200033,5,P1047,3,19.15,11.49,45.96
T200034,1,P1017,1,50.86,0.0,50.86
T200035,1,P1000,2,34.1,0.0,68.2
T200035,2,P1004,1,66.95,0.0,66.95
T200035,3,P1010,2,74.33,0.0,148.66
T200035,4,P1048,3,15.4,9.24,36.96
T200035,5,P1017,1,52.95,7.94,45.01
T200035,6,P1039,1,70.48,0.0,70.48
T200036,1,P1056,2,66.21,0.0,132.42
T200036,2,P1057,1,43.8,6.57,37.23
T200036,3,P1058,1,106.31,10.63,95.68
T200037,1,P1016,3,31.7,0.0,95.1
T200038,1,P1062,4,421.38,0.0,1685.52
T200038,2,P1063,1,72.55,10.88,61.67
T200038,3,P1079,4,211.66,84.66,761.98
T200039,1,P1005,1,51.25,0.0,51.25
T200039,2,P1013,1,39.41,7.88,31.53
T200040,1,P1012,1,100.42,30.13,70.29
T200040,2,P1085,2,155.32,0.0,310.64
T200040,3,P1041,1,133.14,0.0,133.14
T200040,4,P1020,3,124.86,0.0,374.58
T200040,5,P1032,2,31.22,0.0,62.44
T200041,1,P1016,3,31.8,0.0,95.4
T200041,2,P1042,1,40.78,0.0,40.78
T200041,3,P1052,2,151.52,0.0,303.04
T200041,4,P1079,2,218.41,65.52,371.3
T200041,5,P1033,1,89.35,0.0,89.35
T200042,1,P1006,2,20.45,0.0,40.9
T200042,2,P1019,3,142.68,128.41,299.63
T200042,3,P1028,1,158.87,47.66,111.21
T200043,1,P1042,2,41.08,0.0,82.16
T200043,2,P1016,1,32.58,0.0,32.58
T200043,3,P1015,1,37.17,0.0,37.17
T200044,1,P1013,3,40.1,0.0,120.3
T200044,2,P1014,1,63.25,9.49,53.76
T200044,3,P1040,1,36.8,3.68,33.12
T200044,4,P1029,1,28.1,5.62,22.48
T200045,1,P1025,4,107.83,129.4,301.92
T200045,2,P1011,3,132.71,0.0,398.13
T200045,3,P1031,2,36.0,0.0,72.0
T200046,1,P1049,1,264.52,0.0,264.52
T200046,2,P1038,4,32.33,12.93,116.39
T200046,3,P1005,4,51.06,0.0,204.24
T200047,1,P1048,1,16.86,0.0,16.86
T200048,1,P1050,1,487.04,0.0,487.04
T200049,1,P1074,4,478.54,382.83,1531.33
T200049,2,P1075,2,147.03,0.0,294.06
T200049,3,P1076,2,216.77,130.06,303.48
T200050,1,P1049,2,350.8,0.0,701.6
T200050,2,P1038,4,40.26,0.0,161.04
T200050,3,P1037,2,81.23,24.37,138.09
T200050,4,P1058,1,147.42,0.0,147.42
T200051,1,P1040,3,47.7,42.93,100.17
T200051,2,P1071,3,107.81,0.0,323.43
T200051,3,P1044,3,57.02,17.11,153.95
T200051,4,P1022,3,91.05,27.32,245.83
T200051,5,P1008,4,196.89,0.0,787.56
T200052,1,P1021,1,340.12,102.04,238.08
T200052,2,P1022,1,92.27,0.0,92.27
T200052,3,P1023,1,81.7,0.0,81.7
T200052,4,P1059,2,478.35,0.0,956.7
T200052,5,P1068,2,179.26,53.78,304.74
T200052,6,P1083,2,82.04,0.0,164.08
T200052,7,P1000,2,47.09,18.84,75.34
T200053,1,P1034,2,140.79,0.0,281.58
T200053,2,P1027,1,174.18,0.0,174.18
T200053,3,P1065,3,744.38,223.31,2009.83
T200053,4,P1005,2,66.39,0.0,132.78
T200054,1,P1013,1,45.74,0.0,45.74
T200054,2,P1014,2,76.21,0.0,152.42
T200054,3,P1087,3,751.51,0.0,2254.53
T200055,1,P1037,2,76.44,45.86,107.02
T200055,2,P1072,1,118.17,0.0,118.17
T200055,3,P1006,1,23.81,3.57,20.24
T200055,4,P1079,1,246.0,0.0,246.0
T200055,5,P1012,1,112.24,16.84,95.4
T200056,1,P1045,1,86.69,0.0,86.69
T200056,2,P1025,2,141.94,0.0,283.88
T200056,3,P1085,1,203.08,0.0,203.08
T200057,1,P1056,2,98.89,0.0,197.78
T200058,1,P1025,2,138.5,0.0,277.0
T200058,2,P1011,4,175.62,210.74,491.74
T200058,3,P1031,1,47.5,0.0,47.5
T200059,1,P1009,3,105.81,0.0,317.43
T200060,1,P1017,1,75.27,7.53,67.74
T200060,2,P1082,1,139.55,13.96,125.59
T200061,1,P1069,1,95.8,14.37,81.43
T200061,2,P1068,1,185.12,0.0,185.12
T200061,3,P1085,1,200.57,0.0,200.57
T200062,1,P1003,1,31.39,0.0,31.39
T200062,2,P1000,2,47.69,14.31,81.07
T200062,3,P1039,1,101.81,0.0,101.81
T200062,4,P1069,2,94.36,28.31,160.41
T200062,5,P1015,1,48.64,14.59,34.05
T200062,6,P1085,3,199.87,0.0,599.61
T200063,1,P1077,1,420.76,126.23,294.53
T200063,2,P1071,1,102.92,0.0,102.92
T200063,3,P1053,1,198.3,0.0,198.3
T200063,4,P1048,2,21.16,0.0,42.32
T200063,5,P1067,1,231.66,34.75,196.91
T200064,1,P1025,1,141.63,21.24,120.39
T200064,2,P1011,1,172.58,25.89,146.69
T200064,3,P1031,2,49.37,14.81,83.93
T200065,1,P1000,3,48.12,14.44,129.92
T200065,2,P1004,2,96.18,0.0,192.36
T200065,3,P1010,1,104.6,0.0,104.6
T200066,1,P1000,1,48.99,0.0,48.99
T200066,2,P1004,1,94.64,9.46,85.18
T200066,3,P1010,3,102.69,0.0,308.07
T200066,4,P1021,2,350.27,0.0,700.54
T200067,1,P1044,4,59.5,0.0,238.0
T200067,2,P1012,2,130.7,52.28,209.12
T200068,1,P1006,2,27.09,8.13,46.05
T200068,2,P1019,1,188.33,37.67,150.66
T200068,3,P1039,4,101.77,122.12,284.96
T200068,4,P1000,1,46.84,0.0,46.84
T200069,1,P1025,2,140.21,0.0,280.42
T200069,2,P1011,2,164.49,98.69,230.29
T200069,3,P1031,1,48.62,0.0,48.62
T200069,4,P1071,2,107.87,0.0,215.74
T200069,5,P1024,2,187.61,37.52,337.7
T200069,6,P1045,1,83.86,0.0,83.86
T200069,7,P1042,1,52.78,15.83,36.95
T200069,8,P1000,2,49.25,19.7,78.8
T200070,1,P1073,1,126.0,0.0,126.0
T200070,2,P1045,2,85.07,34.03,136.11
T200070,3,P1001,4,63.93,0.0,255.72
T200070,4,P1070,1,71.53,10.73,60.8
T200070,5,P1061,1,290.27,0.0,290.27
T200070,6,P1046,3,37.06,16.68,94.5
T200070,7,P1016,5,41.15,41.15,164.6
T200070,8,P1044,1,57.18,0.0,57.18
T200070,9,P1043,1,31.24,6.25,24.99
T200071,1,P1056,1,93.84,9.38,84.46
T200071,2,P1057,1,64.32,19.3,45.02
T200071,3,P1058,2,149.1,0.0,298.2
T200071,4,P1000,1,47.17,0.0,47.17
T200071,5,P1042,2,51.75,31.05,72.45
T200071,6,P1038,1,40.63,0.0,40.63
T200071,7,P1071,1,103.72,0.0,103.72
T200071,8,P1001,1,63.91,0.0,63.91
T200072,1,P1062,2,520.72,0.0,1041.44
T200072,2,P1006,3,26.18,11.78,66.76
T200072,3,P1079,1,281.14,0.0,281.14
T200073,1,P1000,1,47.21,4.72,42.49
T200073,2,P1004,4,97.32,0.0,389.28
T200073,3,P1069,1,92.91,0.0,92.91
T200073,4,P1038,2,40.95,24.57,57.33
T200073,5,P1032,2,41.59,16.64,66.54
T200074,1,P1044,1,59.78,0.0,59.78
T200074,2,P1042,2,53.15,0.0,106.3
T200074,3,P1041,2,172.06,103.24,240.88
T200074,4,P1045,1,86.13,8.61,77.52
T200074,5,P1029,1,36.52,0.0,36.52
T200075,1,P1008,2,211.39,0.0,422.78
T200075,2,P1030,3,108.39,48.78,276.39
T200075,3,P1007,2,148.59,0.0,297.18
T200076,1,P1056,2,97.52,0.0,195.04
T200076,2,P1005,3,68.45,0.0,205.35
T200076,3,P1043,2,30.96,0.0,61.92
T200077,1,P1031,2,50.48,0.0,100.96
T200077,2,P1033,3,116.16,0.0,348.48
T200078,1,P1021,1,354.42,0.0,354.42
T200078,2,P1022,1,92.62,0.0,92.62
T200078,3,P1023,2,80.24,0.0,160.48
T200078,4,P1019,2,191.7,0.0,383.4
T200079,1,P1055,1,174.86,17.49,157.37
T200079,2,P1037,1,85.28,25.58,59.7
T200079,3,P1057,3,63.16,56.84,132.64
T200080,1,P1060,2,387.69,0.0,775.38
T200080,2,P1037,3,86.03,0.0,258.09
T200080,3,P1085,1,202.5,0.0,202.5
T200080,4,P1041,2,173.31,0.0,346.62
T200081,1,P1005,3,66.33,59.7,139.29
T200081,2,P1000,1,48.78,0.0,48.78
T200081,3,P1012,3,129.19,0.0,387.57
T200081,4,P1062,2,546.19,0.0,1092.38
T200081,5,P1050,2,629.94,0.0,1259.88
T200081,6,P1025,1,138.53,0.0,138.53
T200082,1,P1010,3,105.93,0.0,317.79
T200083,1,P1005,2,66.15,0.0,132.3
T200083,2,P1015,2,47.91,0.0,95.82
T200083,3,P1037,2,88.79,17.76,159.82
T200083,4,P1036,3,74.23,0.0,222.69
T200084,1,P1005,2,67.71,40.63,94.79
T200084,2,P1004,5,95.14,0.0,475.7
T200085,1,P1013,1,53.77,0.0,53.77
T200085,2,P1014,2,88.49,0.0,176.98
T200085,3,P1008,1,213.27,0.0,213.27
T200086,1,P1036,1,75.6,0.0,75.6
T200086,2,P1000,1,48.15,0.0,48.15
T200086,3,P1064,2,216.69,0.0,433.38
T200086,4,P1001,2,65.21,0.0,130.42
T200086,5,P1004,1,95.6,0.0,95.6
T200086,6,P1035,1,322.44,0.0,322.44
T200087,1,P1021,1,347.53,0.0,347.53
T200087,2,P1022,1,90.45,0.0,90.45
T200087,3,P1023,2,81.49,32.6,130.38
T200088,1,P1036,3,76.66,0.0,229.98
T200088,2,P1040,5,49.63,0.0,248.15
T200088,3,P1069,1,99.23,0.0,99.23
T200089,1,P1029,2,37.99,0.0,75.98
T200089,2,P1007,1,154.49,30.9,123.59
T200089,3,P1034,2,148.73,0.0,297.46
T200089,4,P1035,2,320.45,0.0,640.9
T200089,5,P1004,2,96.6,0.0,193.2
T200090,1,P1074,4,495.56,0.0,1982.24
T200090,2,P1075,2,153.68,0.0,307.36
T200090,3,P1007,3,149.39,0.0,448.17
T200090,4,P1018,2,253.19,0.0,506.38
T200090,5,P1017,1,76.63,11.49,65.14
T200091,1,P1013,2,53.0,0.0,106.0
T200091,2,P1014,1,88.07,8.81,79.26
T200091,3,P1008,2,202.41,0.0,404.82
T200091,4,P1015,4,48.97,19.59,176.29
T200091,5,P1044,3,61.73,0.0,185.19
T200091,6,P1042,3,53.53,0.0,160.59
T200092,1,P1000,4,48.42,0.0,193.68
T200092,2,P1004,2,100.25,0.0,200.5
T200092,3,P1010,1,106.13,0.0,106.13
T200093,1,P1011,3,117.1,0.0,351.3
T200093,2,P1010,1,72.59,0.0,72.59
T200094,1,P1016,1,28.39,5.68,22.71
T200095,1,P1016,2,28.46,0.0,56.92
T200095,2,P1075,2,102.07,0.0,204.14
T200096,1,P1062,3,364.8,0.0,1094.4
T200096,2,P1063,2,65.4,0.0,130.8
T200096,3,P1064,2,148.64,0.0,297.28
T200097,1,P1029,1,25.74,3.86,21.88
T200098,1,P1021,2,242.16,72.65,411.67
T200098,2,P1022,1,61.85,0.0,61.85
T200098,3,P1023,1,56.51,0.0,56.51
T200099,1,P1014,2,57.21,0.0,114.42
T200099,2,P1043,2,21.81,0.0,43.62
T200099,3,P1040,1,32.66,0.0,32.66
T200099,4,P1052,3,143.26,0.0,429.78
T200099,5,P1026,1,85.24,25.57,59.67
T200099,6,P1048,1,14.67,1.47,13.2
T200099,7,P1029,1,25.32,7.6,17.72
T200099,8,P1005,1,45.16,0.0,45.16
T200100,1,P1064,1,145.92,14.59,131.33
T200100,2,P1052,2,138.67,0.0,277.34
T200100,3,P1028,1,142.08,14.21,127.87
T200100,4,P1007,2,101.96,0.0,203.92
T200100,5,P1001,5,43.52,21.76,195.84
T200101,1,P1025,2,140.13,0.0,280.26
T200101,2,P1011,3,169.67,0.0,509.01
T200101,3,P1031,1,49.42,0.0,49.42
T200101,4,P1008,2,204.1,0.0,408.2
T200101,5,P1058,3,152.79,0.0,458.37
T200101,6,P1032,1,42.66,0.0,42.66
T200101,7,P1005,2,67.24,26.9,107.58
T200101,8,P1033,1,119.16,0.0,119.16
T200101,9,P1001,2,63.3,37.98,88.62
T200101,10,P1049,2,358.27,0.0,716.54
T200102,1,P1005,3,68.68,20.6,185.44
T200102,2,P1045,2,84.17,0.0,168.34
T200102,3,P1001,4,64.52,0.0,258.08
T200103,1,P1057,2,66.06,0.0,132.12
T200103,2,P1059,1,509.85,0.0,509.85
T200103,3,P1056,2,95.29,0.0,190.58
T200103,4,P1072,1,139.55,0.0,139.55
T200103,5,P1064,3,217.43,0.0,652.29
T200104,1,P1068,3,187.61,168.85,393.98
T200104,2,P1037,1,84.13,0.0,84.13
T200104,3,P1021,2,347.12,0.0,694.24
T200104,4,P1055,5,169.13,0.0,845.65
T200104,5,P1005,3,66.53,0.0,199.59
T200104,6,P1001,2,64.4,25.76,103.04
T200104,7,P1060,2,386.92,0.0,773.84
T200104,8,P1029,1,37.88,0.0,37.88
T200104,9,P1018,2,252.76,0.0,505.52
T200105,1,P1010,2,105.09,0.0,210.18
T200105,2,P1077,2,417.29,0.0,834.58
T200106,1,P1081,2,1049.84,0.0,2099.68
T200106,2,P1067,2,235.62,0.0,471.24
T200106,3,P1069,1,97.18,19.44,77.74
T200106,4,P1014,1,86.5,0.0,86.5
T200106,5,P1009,3,104.14,93.73,218.69
T200106,6,P1006,4,28.03,0.0,112.12
T200106,7,P1004,1,98.81,14.82,83.99
T200106,8,P1008,1,203.75,0.0,203.75
T200106,9,P1084,2,435.54,0.0,871.08
T200107,1,P1071,1,107.59,0.0,107.59
T200107,2,P1000,2,49.34,9.87,88.81
T200107,3,P1060,1,389.91,0.0,389.91
T200107,4,P1049,1,365.89,36.59,329.3
T200107,5,P1024,3,196.57,0.0,589.71
T200107,6,P1047,1,27.1,0.0,27.1
T200107,7,P1067,2,238.17,0.0,476.34
T200107,8,P1034,2,149.15,0.0,298.3
T200107,9,P1005,1,67.39,13.48,53.91
T200107,10,P1062,1,551.07,0.0,551.07
T200108,1,P1025,2,144.53,0.0,289.06
T200108,2,P1011,1,170.36,0.0,170.36
T200108,3,P1031,1,47.63,0.0,47.63
T200108,4,P1010,3,108.51,48.83,276.7
T200108,5,P1076,2,217.43,0.0,434.86
T200109,1,P1033,2,118.9,0.0,237.8
T200109,2,P1005,2,68.7,0.0,137.4
T200109,3,P1040,1,49.44,0.0,49.44
T200109,4,P1056,1,98.07,0.0,98.07
T200109,5,P1087,2,835.83,0.0,1671.66
T200110,1,P1000,1,50.36,0.0,50.36
T200110,2,P1004,3,98.5,0.0,295.5
T200110,3,P1010,3,108.97,0.0,326.91
T200110,4,P1086,2,2018.7,0.0,4037.4
T200111,1,P1048,1,21.93,0.0,21.93
T200111,2,P1029,1,38.45,3.85,34.6
T200111,3,P1055,1,172.34,0.0,172.34
T200112,1,P1049,2,362.71,0.0,725.42
T200112,2,P1038,3,42.63,0.0,127.89
T200112,3,P1039,1,105.89,21.18,84.71
T200112,4,P1037,2,84.54,0.0,169.08
T200113,1,P1052,1,209.01,0.0,209.01
T200113,2,P1053,3,209.4,0.0,628.2
T200113,3,P1005,2,66.32,0.0,132.64
T200113,4,P1042,2,53.22,0.0,106.44
T200113,5,P1056,2,96.77,0.0,193.54
T200113,6,P1069,3,95.41,0.0,286.23
T200113,7,P1007,2,155.79,0.0,311.58
T200114,1,P1084,1,435.07,0.0,435.07
T200114,2,P1029,5,37.58,37.58,150.32
T200114,3,P1068,3,178.86,0.0,536.58
T200114,4,P1052,1,203.31,0.0,203.31
T200114,5,P1067,2,230.98,0.0,461.96
T200114,6,P1044,1,61.09,0.0,61.09
T200114,7,P1042,3,52.79,0.0,158.37
T200114,8,P1045,1,86.96,0.0,86.96
T200115,1,P1070,1,77.19,11.58,65.61
T200115,2,P1009,2,104.27,20.85,187.69
T200115,3,P1037,1,84.66,0.0,84.66
T200116,1,P1053,1,200.93,0.0,200.93
T200116,2,P1059,1,506.07,75.91,430.16
T200116,3,P1037,3,83.49,0.0,250.47
T200116,4,P1008,2,209.75,0.0,419.5
T200117,1,P1002,1,37.68,7.54,30.14
T200117,2,P1005,2,68.21,0.0,136.42
T200117,3,P1012,3,131.21,59.04,334.59
T200118,1,P1062,1,558.89,0.0,558.89
T200118,2,P1054,1,275.33,0.0,275.33
T200119,1,P1074,3,489.16,220.12,1247.36
T200119,2,P1075,2,151.33,90.8,211.86
T200119,3,P1005,1,69.01,0.0,69.01
T200119,4,P1068,1,181.45,0.0,181.45
T200120,1,P1003,1,31.92,0.0,31.92
T200120,2,P1042,1,53.2,0.0,53.2
T200120,3,P1049,1,360.79,0.0,360.79
T200120,4,P1001,2,64.8,12.96,116.64
T200121,1,P1055,3,170.85,0.0,512.55
T200121,2,P1067,1,233.02,0.0,233.02
T200121,3,P1074,1,493.14,0.0,493.14
T200121,4,P1036,4,77.27,0.0,309.08
T200121,5,P1037,1,86.05,0.0,86.05
T200121,6,P1008,3,200.2,0.0,600.6
T200121,7,P1056,3,95.6,0.0,286.8
T200122,1,P1056,3,102.88,0.0,308.64
T200122,2,P1057,1,68.08,0.0,68.08
T200122,3,P1058,2,155.21,31.04,279.38
T200122,4,P1015,2,52.26,0.0,104.52
T200122,5,P1079,1,291.01,58.2,232.81
T200122,6,P1023,1,85.26,17.05,68.21
T200123,1,P1062,1,557.1,111.42,445.68
T200123,2,P1063,1,99.59,19.92,79.67
T200123,3,P1038,1,45.65,0.0,45.65
T200123,4,P1026,5,131.99,0.0,659.95
T200123,5,P1067,3,240.68,0.0,722.04
T200124,1,P1018,1,258.21,0.0,258.21
T200124,2,P1020,1,165.76,16.58,149.18
T200124,3,P1037,1,92.65,0.0,92.65
T200124,4,P1082,2,146.18,0.0,292.36
T200124,5,P1010,2,112.38,0.0,224.76
T200125,1,P1021,3,360.13,0.0,1080.39
T200125,2,P1022,1,98.56,0.0,98.56
T200125,3,P1023,3,87.24,0.0,261.72
T200126,1,P1000,2,52.38,0.0,104.76
T200126,2,P1004,2,103.77,0.0,207.54
T200126,3,P1010,3,111.2,0.0,333.6
T200127,1,P1007,2,153.56,0.0,307.12
T200127,2,P1020,1,169.25,50.78,118.47
T200127,3,P1003,3,32.56,0.0,97.68
T200127,4,P1071,2,109.9,21.98,197.82
T200127,5,P1038,2,43.73,0.0,87.46
T200128,1,P1074,2,537.57,322.54,752.6
T200128,2,P1075,1,157.87,0.0,157.87
T200128,3,P1076,1,223.7,0.0,223.7
T200128,4,P1012,2,132.86,0.0,265.72
T200128,5,P1068,2,198.04,0.0,396.08
T200129,1,P1062,1,565.39,0.0,565.39
T200129,2,P1063,1,104.25,0.0,104.25
T200129,3,P1015,1,51.56,0.0,51.56
T200129,4,P1051,4,993.26,0.0,3973.04
T200129,5,P1004,2,102.13,0.0,204.26
T200129,6,P1012,2,131.54,0.0,263.08
T200130,1,P1007,2,158.99,0.0,317.98
T200130,2,P1016,1,44.02,0.0,44.02
T200130,3,P1001,2,65.58,0.0,131.16
T200130,4,P1029,1,40.16,0.0,40.16
T200130,5,P1003,1,33.29,4.99,28.3
T200130,6,P1065,2,772.14,0.0,1544.28
T200131,1,P1013,2,56.76,0.0,113.52
T200131,2,P1056,2,102.89,0.0,205.78
T200131,3,P1009,1,106.41,0.0,106.41
T200131,4,P1045,2,90.87,0.0,181.74
T200131,5,P1053,3,220.78,0.0,662.34
T200132,1,P1017,3,79.65,0.0,238.95
T200132,2,P1066,2,51.64,0.0,103.28
T200133,1,P1040,2,49.99,0.0,99.98
T200134,1,P1020,1,174.37,0.0,174.37
T200134,2,P1088,1,329.27,0.0,329.27
T200134,3,P1029,1,38.7,0.0,38.7
T200134,4,P1002,2,40.16,0.0,80.32
T200135,1,P1000,1,51.73,0.0,51.73
T200135,2,P1002,1,40.79,8.16,32.63
T200135,3,P1007,2,155.84,46.75,264.93
T200135,4,P1008,1,216.73,0.0,216.73
T200135,5,P1018,2,257.8,0.0,515.6
T200135,6,P1024,1,204.69,0.0,204.69
T200135,7,P1005,1,71.57,10.74,60.83
T200135,8,P1015,2,51.24,0.0,102.48
T200135,9,P1063,1,99.65,19.93,79.72
T200136,1,P1049,1,377.02,0.0,377.02
T200136,2,P1038,4,45.36,0.0,181.44
T200136,3,P1039,1,105.05,0.0,105.05
T200137,1,P1003,1,33.52,10.06,23.46
T200137,2,P1045,3,87.67,0.0,263.01
T200137,3,P1056,2,98.96,0.0,197.92
T200138,1,P1056,1,100.9,10.09,90.81
T200138,2,P1057,3,66.39,19.92,179.25
T200138,3,P1058,2,162.54,0.0,325.08
T200138,4,P1005,2,72.69,21.81,123.57
T200138,5,P1016,4,43.28,0.0,173.12
T200139,1,P1000,3,52.46,15.74,141.64
T200139,2,P1002,1,40.5,0.0,40.5
T200139,3,P1005,1,72.52,0.0,72.52
T200139,4,P1032,3,44.25,0.0,132.75
T200140,1,P1004,3,100.52,0.0,301.56
T200140,2,P1015,3,51.75,0.0,155.25
T200140,3,P1062,1,557.08,111.42,445.66
T200140,4,P1034,2,149.64,0.0,299.28
T200140,5,P1052,2,220.22,132.13,308.31
T200140,6,P1017,4,79.22,0.0,316.88
T200140,7,P1009,3,108.66,0.0,325.98
T200140,8,P1020,3,174.13,0.0,522.39
T200140,9,P1002,1,40.45,0.0,40.45
T200141,1,P1004,3,101.92,0.0,305.76
T200141,2,P1063,3,100.55,0.0,301.65
T200141,3,P1005,2,72.22,0.0,144.44
T200141,4,P1008,1,209.8,0.0,209.8
T200142,1,P1019,3,199.32,179.39,418.57
T200142,2,P1018,2,258.73,0.0,517.46
T200142,3,P1005,1,71.28,21.38,49.9
T200142,4,P1012,2,134.31,53.72,214.9
T200142,5,P1014,1,92.44,9.24,83.2
T200142,6,P1084,1,438.45,0.0,438.45
T200143,1,P1013,2,56.42,16.93,95.91
T200143,2,P1014,1,88.01,0.0,88.01
T200143,3,P1008,4,218.33,0.0,873.32
T200143,4,P1070,2,78.34,0.0,156.68
T200144,1,P1005,1,69.93,0.0,69.93
T200144,2,P1076,3,229.26,0.0,687.78
T200144,3,P1019,3,204.09,91.84,520.43
T200145,1,P1074,2,526.28,0.0,1052.56
T200145,2,P1075,2,159.5,0.0,319.0
T200145,3,P1076,1,223.43,0.0,223.43
T200146,1,P1004,1,101.92,0.0,101.92
