ticket_id,customer_id,ticket_date,issue_type,contact_channel,is_resolved,satisfaction_score
K50135,C10253,2025-10-28,Delivery Delay,Call Center,0,3
K50136,C10259,2026-02-25,Payment Issue,Social,0,5
K50137,C10261,2026-08-06,Refund Request,Social,0,3
K50138,C10261,2026-07-02,Wrong Item,Chat,1,3
K50139,C10262,2026-02-04,Damaged Item,Chat,1,2
K50140,C10264,2026-03-15,Payment Issue,Chat,1,4
K50141,C10264,2026-02-18,Damaged Item,Chat,1,4
K50142,C10266,2025-04-29,Refund Request,Call Center,1,4
K50143,C10266,2026-07-12,Wrong Item,Email,1,4
K50144,C10266,2026-07-22,Delivery Delay,Social,1,3
K50145,C10267,2025-10-06,Refund Request,Social,1,3
K50146,C10270,2026-02-03,App/Website Problem,Call Center,1,2
K50147,C10271,2026-05-27,Delivery Delay,Social,1,4
K50148,C10272,2025-12-19,Damaged Item,Social,1,4
K50149,C10272,2025-11-14,Payment Issue,Chat,1,1
K50150,C10273,2025-11-16,Payment Issue,Chat,1,3
K50151,C10274,2026-03-07,Damaged Item,Chat,1,5
K50152,C10279,2026-05-23,Wrong Item,Call Center,1,3
K50153,C10281,2026-04-07,Refund Request,Social,1,5
K50154,C10285,2026-05-23,Payment Issue,Social,1,3
K50155,C10285,2026-06-04,Delivery Delay,Email,1,4
K50156,C10288,2026-08-29,Payment Issue,Social,1,2
K50157,C10288,2024-12-04,Delivery Delay,Call Center,1,2
K50158,C10289,2026-03-05,Delivery Delay,Call Center,1,4
K50159,C10290,2026-04-17,App/Website Problem,Chat,0,3
K50160,C10292,2026-04-26,App/Website Problem,Call Center,0,3
K50161,C10292,2026-03-17,Payment Issue,Call Center,1,3
K50162,C10293,2025-04-06,Payment Issue,Social,1,2
K50163,C10294,2026-02-02,Membership Points,Social,1,3
K50164,C10295,2026-05-03,App/Website Problem,Email,1,5
K50165,C10297,2026-03-14,Delivery Delay,Chat,1,4
K50166,C10298,2026-05-10,Wrong Item,Email,0,3
K50167,C10298,2025-11-03,Membership Points,Social,1,4
K50168,C10298,2025-10-27,Refund Request,Chat,0,4
K50169,C10299,2025-03-24,Wrong Item,Social,1,4
K50170,C10306,2026-07-13,Membership Points,Chat,0,4
K50171,C10307,2024-09-08,Delivery Delay,Email,0,3
K50172,C10313,2025-07-28,Refund Request,Call Center,1,4
K50173,C10315,2025-12-06,Damaged Item,Email,1,3
K50174,C10316,2026-06-06,Wrong Item,Social,1,4
K50175,C10318,2026-03-01,Wrong Item,Social,1,2
K50176,C10319,2026-02-25,App/Website Problem,Social,0,3
K50177,C10320,2025-11-01,App/Website Problem,Social,1,3
K50178,C10320,2025-12-11,App/Website Problem,Social,1,2
K50179,C10322,2026-02-10,Damaged Item,Chat,1,3
K50180,C10324,2026-04-02,Membership Points,Email,1,3
K50181,C10325,2026-02-01,Damaged Item,Email,1,2
K50182,C10325,2026-02-04,Delivery Delay,Chat,0,3
K50183,C10334,2026-04-18,Payment Issue,Call Center,0,2
K50184,C10343,2026-04-12,App/Website Problem,Chat,0,3
K50185,C10347,2026-03-27,Payment Issue,Chat,1,3
K50186,C10347,2025-08-12,Membership Points,Call Center,0,1
K50187,C10356,2026-07-25,Wrong Item,Call Center,1,1
K50188,C10357,2026-01-21,Refund Request,Chat,0,4
K50189,C10365,2025-06-06,Delivery Delay,Email,0,1
K50190,C10365,2025-06-24,App/Website Problem,Email,1,4
K50191,C10365,2025-06-29,Delivery Delay,Call Center,1,2
K50192,C10366,2026-03-16,Refund Request,Call Center,1,5
K50193,C10367,2026-03-04,Refund Request,Call Center,1,3
K50194,C10367,2026-07-30,Wrong Item,Social,1,2
K50195,C10369,2026-04-20,Payment Issue,Social,1,5
K50196,C10373,2026-01-24,Wrong Item,Social,1,3
K50197,C10374,2026-03-31,Wrong Item,Chat,0,1
K50198,C10374,2025-09-09,Membership Points,Chat,1,4
K50199,C10376,2026-01-02,Refund Request,Chat,1,4
K50200,C10378,2025-10-23,App/Website Problem,Chat,1,1
K50201,C10378,2026-07-18,Payment Issue,Chat,1,4
K50202,C10380,2025-11-12,App/Website Problem,Social,1,4
K50203,C10382,2025-06-12,Payment Issue,Call Center,1,2
K50204,C10384,2026-05-25,Membership Points,Social,1,4
K50205,C10385,2026-03-04,Damaged Item,Call Center,1,3
K50206,C10386,2025-09-18,Membership Points,Email,1,4
K50207,C10386,2025-02-21,Refund Request,Call Center,0,4
K50208,C10387,2026-03-18,Payment Issue,Call Center,1,1
K50209,C10387,2026-03-22,Delivery Delay,Social,0,3
K50210,C10387,2026-03-12,Damaged Item,Email,1,4
K50211,C10388,2025-06-30,Delivery Delay,Call Center,1,3
K50212,C10392,2026-03-19,Payment Issue,Call Center,1,5
K50213,C10392,2025-11-23,App/Website Problem,Chat,1,4
K50214,C10395,2026-06-03,Wrong Item,Social,1,3
K50215,C10399,2026-01-19,Delivery Delay,Email,1,4
K50216,C10400,2026-05-10,Damaged Item,Chat,1,2
K50217,C10411,2026-02-07,Membership Points,Social,1,1
K50218,C10413,2025-03-19,Delivery Delay,Social,1,3
K50219,C10413,2026-02-21,Refund Request,Email,0,3
K50220,C10414,2026-08-03,Damaged Item,Chat,1,5
K50221,C10415,2026-02-02,Delivery Delay,Social,1,3
K50222,C10419,2026-04-30,Refund Request,Email,1,3
K50223,C10421,2025-10-27,Payment Issue,Email,1,4
K50224,C10421,2025-10-24,App/Website Problem,Chat,1,1
K50225,C10424,2026-01-07,Refund Request,Call Center,1,4
K50226,C10425,2026-05-31,Wrong Item,Email,1,4
K50227,C10425,2026-03-18,Membership Points,Email,1,2
K50228,C10425,2026-05-06,Refund Request,Chat,1,3
K50229,C10426,2026-05-22,Membership Points,Social,0,3
K50230,C10434,2026-07-21,Damaged Item,Call Center,1,3
K50231,C10434,2026-05-04,Damaged Item,Call Center,1,5
K50232,C10436,2026-07-26,Payment Issue,Social,1,4
K50233,C10438,2026-04-11,Damaged Item,Chat,1,4
K50234,C10439,2025-08-01,Wrong Item,Email,0,3
K50235,C10441,2026-02-11,Refund Request,Email,1,1
K50236,C10444,2025-09-10,App/Website Problem,Social,1,3
K50237,C10444,2025-06-15,App/Website Problem,Call Center,1,3
K50238,C10445,2025-02-04,Damaged Item,Chat,1,5
K50239,C10445,2025-09-17,App/Website Problem,Call Center,1,3
K50240,C10447,2025-05-16,Wrong Item,Chat,1,4
K50241,C10451,2026-02-09,Payment Issue,Email,1,4
K50242,C10459,2026-04-15,Payment Issue,Social,1,1
K50243,C10460,2026-02-11,Wrong Item,Chat,1,1
K50244,C10461,2025-12-03,Membership Points,Call Center,1,2
K50245,C10462,2026-03-28,Delivery Delay,Social,0,2
K50246,C10462,2026-02-22,Membership Points,Call Center,0,2
K50247,C10467,2025-12-19,Refund Request,Social,1,4
K50248,C10468,2025-09-15,Wrong Item,Email,1,3
K50249,C10471,2026-08-12,Wrong Item,Social,1,4
K50250,C10473,2026-05-14,Damaged Item,Chat,1,3
K50251,C10474,2025-07-08,Payment Issue,Chat,0,1
K50252,C10475,2026-03-29,Membership Points,Email,1,4
K50253,C10477,2026-02-25,Payment Issue,Email,1,1
K50254,C10477,2026-01-06,Payment Issue,Email,1,3
K50255,C10477,2026-02-22,Refund Request,Call Center,1,4
K50256,C10479,2026-02-07,Delivery Delay,Social,1,2
K50257,C10486,2025-10-24,App/Website Problem,Social,1,5
K50258,C10487,2025-05-30,Delivery Delay,Chat,1,3
K50259,C10491,2026-05-25,Damaged Item,Social,1,3
K50260,C10496,2026-02-01,Refund Request,Call Center,1,4
K50261,C10500,2026-07-25,Payment Issue,Email,1,4
K50262,C10500,2026-08-18,Payment Issue,Chat,1,2
K50263,C10501,2026-03-06,Wrong Item,Social,0,4
K50264,C10503,2025-12-29,Payment Issue,Social,1,2
K50265,C10503,2025-11-13,Delivery Delay,Email,1,4
K50266,C10505,2026-04-18,App/Website Problem,Call Center,1,3
K50267,C10507,2026-01-18,Delivery Delay,Email,1,2
K50268,C10508,2026-03-20,Wrong Item,Call Center,1,3
K50269,C10510,2025-11-09,Refund Request,Chat,1,4
K50270,C10511,2025-03-24,Membership Points,Call Center,1,3
K50271,C10512,2026-06-22,Refund Request,Email,0,3
K50272,C10516,2026-03-02,Wrong Item,Email,1,3
K50273,C10517,2026-04-21,Damaged Item,Call Center,1,3
K50274,C10517,2025-06-18,Damaged Item,Call Center,1,4
K50275,C10517,2026-04-17,App/Website Problem,Chat,1,3
K50276,C10517,2026-04-06,Membership Points,Call Center,1,3
K50277,C10517,2026-03-17,App/Website Problem,Chat,0,3
K50278,C10518,2025-12-23,App/Website Problem,Email,1,3
K50279,C10518,2026-03-09,Refund Request,Chat,0,4
K50280,C10519,2026-05-16,App/Website Problem,Email,1,3
K50281,C10523,2026-03-04,Refund Request,Chat,0,3
K50282,C10525,2025-08-13,Membership Points,Social,1,5
K50283,C10526,2026-03-23,Payment Issue,Call Center,1,3
K50284,C10527,2026-07-10,App/Website Problem,Call Center,0,4
K50285,C10529,2025-05-27,App/Website Problem,Call Center,1,4
K50286,C10529,2026-05-20,Membership Points,Chat,1,4
K50287,C10534,2026-05-08,Damaged Item,Call Center,1,3
K50288,C10535,2026-02-24,Refund Request,Social,1,2
K50289,C10536,2025-11-27,Delivery Delay,Call Center,1,2
K50290,C10538,2025-11-01,Refund Request,Chat,0,4
K50291,C10539,2026-07-24,Damaged Item,Email,1,3
K50292,C10540,2026-02-10,App/Website Problem,Email,0,3
K50293,C10541,2025-01-13,Delivery Delay,Chat,1,5
K50294,C10541,2025-02-18,Refund Request,Chat,0,2
K50295,C10542,2025-07-23,Delivery Delay,Call Center,1,3
K50296,C10544,2026-05-07,Payment Issue,Social,1,3
K50297,C10547,2026-01-18,Membership Points,Email,1,4
K50298,C10551,2025-12-23,App/Website Problem,Call Center,1,3
K50299,C10551,2025-09-25,Delivery Delay,Social,1,3
K50300,C10553,2026-06-24,Damaged Item,Call Center,1,3
K50301,C10555,2025-10-09,Payment Issue,Call Center,1,4
K50302,C10564,2026-04-30,Delivery Delay,Email,1,5
K50303,C10566,2026-06-05,Payment Issue,Email,1,5
K50304,C10566,2026-03-06,Wrong Item,Chat,1,4
K50305,C10566,2026-01-23,Wrong Item,Chat,1,5
K50306,C10570,2026-06-15,Damaged Item,Chat,1,4
K50307,C10571,2025-10-30,Delivery Delay,Social,0,2
K50308,C10571,2026-01-30,Refund Request,Social,1,5
K50309,C10572,2026-06-25,Membership Points,Call Center,1,5
K50310,C10573,2025-12-08,Refund Request,Email,1,4
K50311,C10581,2025-06-15,Damaged Item,Chat,1,5
K50312,C10581,2026-03-15,App/Website Problem,Call Center,0,2
K50313,C10585,2025-10-17,Delivery Delay,Email,1,3
K50314,C10592,2026-06-16,Payment Issue,Chat,1,4
K50315,C10592,2026-01-18,Payment Issue,Social,1,4
K50316,C10600,2025-01-06,Refund Request,Social,1,5
K50317,C10602,2025-07-30,Payment Issue,Email,1,2
K50318,C10605,2026-05-27,Damaged Item,Chat,1,5
K50319,C10612,2024-11-20,Damaged Item,Social,0,4
K50320,C10612,2024-12-16,Payment Issue,Chat,1,1
K50321,C10614,2024-11-23,App/Website Problem,Chat,0,2
K50322,C10617,2026-02-11,Payment Issue,Email,1,3
K50323,C10618,2026-07-25,Refund Request,Chat,1,5
K50324,C10619,2025-12-19,Refund Request,Email,0,3
K50325,C10620,2026-05-30,Refund Request,Chat,1,3
K50326,C10622,2026-07-16,Wrong Item,Call Center,1,4
K50327,C10623,2026-04-01,Delivery Delay,Email,1,1
K50328,C10631,2025-10-03,Membership Points,Chat,0,3
K50329,C10633,2025-10-05,Damaged Item,Chat,1,2
K50330,C10636,2025-11-14,Wrong Item,Chat,1,2
K50331,C10637,2026-01-04,Refund Request,Email,0,4
K50332,C10640,2025-11-13,App/Website Problem,Chat,1,2
K50333,C10640,2025-09-20,Membership Points,Call Center,1,3
K50334,C10640,2026-02-22,App/Website Problem,Call Center,1,2
K50335,C10641,2024-12-23,App/Website Problem,Email,1,2
K50336,C10642,2026-04-04,Delivery Delay,Chat,0,4
K50337,C10643,2026-08-10,Payment Issue,Call Center,1,2
K50338,C10647,2026-02-09,Payment Issue,Social,0,3
K50339,C10647,2026-01-05,Payment Issue,Social,0,1
K50340,C10647,2025-12-04,Delivery Delay,Email,1,4
K50341,C10647,2025-11-29,Wrong Item,Chat,0,3
K50342,C10650,2026-05-29,Refund Request,Call Center,1,4
K50343,C10651,2025-08-16,App/Website Problem,Call Center,1,4
K50344,C10657,2026-04-05,App/Website Problem,Chat,0,2
K50345,C10659,2025-10-31,Damaged Item,Email,1,2
K50346,C10660,2025-08-06,Refund Request,Chat,0,4
K50347,C10661,2026-04-13,Refund Request,Chat,1,4
K50348,C10663,2026-08-01,App/Website Problem,Chat,1,3
K50349,C10665,2026-05-04,Damaged Item,Social,1,5
K50350,C10666,2026-04-06,Refund Request,Call Center,1,4
K50351,C10668,2025-09-19,Payment Issue,Chat,1,5
K50352,C10668,2026-01-11,Payment Issue,Call Center,1,2
K50353,C10669,2025-12-08,Membership Points,Email,1,3
K50354,C10670,2025-08-28,Refund Request,Chat,1,1
K50355,C10670,2025-07-02,Wrong Item,Call Center,1,3
K50356,C10672,2025-09-03,Payment Issue,Chat,1,4
K50357,C10673,2025-04-27,Damaged Item,Call Center,1,3
K50358,C10673,2026-01-08,Payment Issue,Call Center,1,3
K50359,C10673,2026-03-17,Damaged Item,Call Center,1,3
K50360,C10674,2026-05-26,Payment Issue,Social,0,5
K50361,C10674,2025-08-29,Payment Issue,Call Center,1,5
K50362,C10678,2026-02-17,Delivery Delay,Email,1,3
K50363,C10681,2025-09-09,Payment Issue,Call Center,1,3
K50364,C10691,2025-06-30,Refund Request,Chat,1,3
K50365,C10691,2026-01-25,Refund Request,Call Center,1,4
K50366,C10692,2024-12-29,Refund Request,Call Center,0,3
K50367,C10693,2026-05-20,Membership Points,Email,1,1
K50368,C10698,2025-12-08,Damaged Item,Social,0,4
K50369,C10699,2025-09-15,App/Website Problem,Email,1,2
K50370,C10700,2026-01-02,Wrong Item,Email,0,3
K50371,C10700,2025-10-24,Refund Request,Call Center,1,3
K50372,C10702,2026-06-04,Delivery Delay,Email,1,4
K50373,C10702,2026-06-15,Wrong Item,Call Center,1,1
K50374,C10702,2026-06-22,Membership Points,Social,1,4
K50375,C10705,2025-12-14,Wrong Item,Social,1,5
K50376,C10707,2026-03-09,Membership Points,Chat,1,3
K50377,C10707,2025-11-16,Membership Points,Social,1,3
K50378,C10707,2024-12-31,Wrong Item,Email,0,2
K50379,C10710,2026-01-29,Membership Points,Social,1,5
K50380,C10718,2026-01-21,Damaged Item,Call Center,1,4
K50381,C10718,2025-12-11,Refund Request,Email,1,4
K50382,C10722,2026-04-18,App/Website Problem,Chat,1,3
K50383,C10727,2025-10-01,Payment Issue,Call Center,1,2
K50384,C10731,2026-08-24,Wrong Item,Email,1,3
K50385,C10734,2025-10-30,Wrong Item,Call Center,1,5
K50386,C10738,2026-05-22,Wrong Item,Call Center,0,2
K50387,C10739,2026-05-19,Membership Points,Email,1,3
K50388,C10739,2026-07-01,App/Website Problem,Email,0,4
K50389,C10740,2026-01-01,Membership Points,Call Center,0,1
K50390,C10740,2026-02-12,Membership Points,Email,0,3
K50391,C10741,2025-10-26,App/Website Problem,Chat,1,5
K50392,C10743,2026-06-14,Wrong Item,Email,1,4
K50393,C10744,2025-11-08,Damaged Item,Email,1,3
K50394,C10744,2026-02-12,Membership Points,Social,1,1
K50395,C10745,2025-06-18,Refund Request,Chat,1,2
K50396,C10745,2026-02-25,Delivery Delay,Email,1,2
K50397,C10748,2026-05-21,Damaged Item,Call Center,0,1
K50398,C10749,2025-05-31,Delivery Delay,Chat,1,4
K50399,C10750,2025-03-11,App/Website Problem,Social,1,3
K50400,C10754,2026-02-17,Refund Request,Social,1,1
K50401,C10754,2025-12-29,Refund Request,Chat,1,2
K50402,C10754,2026-01-16,App/Website Problem,Email,0,3
K50403,C10754,2026-02-07,Damaged Item,Email,0,4
K50404,C10757,2026-07-17,App/Website Problem,Social,1,3
K50405,C10760,2026-06-06,Damaged Item,Chat,1,2
K50406,C10761,2026-04-30,Wrong Item,Social,1,3
K50407,C10762,2025-11-13,App/Website Problem,Call Center,0,2
K50408,C10764,2025-11-25,Damaged Item,Call Center,1,3
K50409,C10764,2026-07-23,Payment Issue,Call Center,1,3
K50410,C10766,2026-04-02,App/Website Problem,Email,1,3
K50411,C10771,2025-07-10,Payment Issue,Social,1,2
K50412,C10771,2025-08-29,Delivery Delay,Social,1,1
K50413,C10775,2025-12-31,Delivery Delay,Email,1,5
K50414,C10775,2026-07-27,App/Website Problem,Call Center,1,4
K50415,C10775,2025-12-04,Refund Request,Email,1,1
K50416,C10776,2025-12-10,Refund Request,Call Center,1,3
K50417,C10778,2026-01-09,Damaged Item,Social,1,2
K50418,C10780,2026-01-23,Wrong Item,Email,1,2
K50419,C10784,2025-03-27,App/Website Problem,Call Center,1,4
K50420,C10785,2026-03-03,Membership Points,Social,1,4
K50421,C10786,2025-07-13,Delivery Delay,Call Center,0,2
K50422,C10787,2026-06-09,Membership Points,Email,1,5
K50423,C10787,2026-05-19,Payment Issue,Chat,1,4
K50424,C10788,2025-12-10,Wrong Item,Call Center,1,4
K50425,C10789,2026-07-05,Membership Points,Chat,1,1
K50426,C10789,2026-03-24,Damaged Item,Email,1,3
K50427,C10790,2025-10-20,Damaged Item,Chat,1,5
K50428,C10791,2025-09-27,Wrong Item,Email,1,3
K50429,C10792,2026-01-22,Delivery Delay,Email,0,4
K50430,C10793,2025-02-18,Wrong Item,Chat,1,2
K50431,C10795,2025-05-12,Wrong Item,Call Center,1,4
K50432,C10795,2025-06-11,Payment Issue,Social,0,3
K50433,C10796,2025-07-30,Membership Points,Social,1,4
K50434,C10797,2026-06-24,Membership Points,Email,1,2
K50435,C10804,2025-10-13,Damaged Item,Chat,1,3
K50436,C10804,2025-09-13,Refund Request,Chat,1,3
K50437,C10804,2025-07-20,App/Website Problem,Chat,0,4
K50438,C10804,2025-10-03,Refund Request,Email,0,2
K50439,C10809,2025-10-22,Membership Points,Chat,1,4
K50440,C10814,2026-08-05,Membership Points,Chat,0,3
K50441,C10815,2025-11-15,Refund Request,Call Center,0,1
K50442,C10816,2025-03-25,Damaged Item,Email,1,1
K50443,C10822,2026-02-04,Refund Request,Chat,1,4
K50444,C10822,2026-08-02,Delivery Delay,Chat,1,1
K50445,C10825,2025-09-11,Membership Points,Call Center,1,4
K50446,C10825,2026-08-15,Refund Request,Email,0,3
K50447,C10826,2025-12-20,Wrong Item,Chat,1,3
K50448,C10827,2025-08-02,Payment Issue,Social,1,4
K50449,C10830,2026-05-17,Damaged Item,Call Center,1,3
K50450,C10830,2026-05-25,Refund Request,Call Center,0,4
K50451,C10834,2025-07-05,Membership Points,Email,1,2
K50452,C10834,2026-01-08,Delivery Delay,Email,1,2
K50453,C10834,2026-01-09,Membership Points,Call Center,1,5
K50454,C10836,2025-05-24,Wrong Item,Email,1,5
K50455,C10838,2026-03-13,Delivery Delay,Chat,1,4
K50456,C10838,2026-03-13,Payment Issue,Chat,1,1
K50457,C10841,2026-03-11,Membership Points,Chat,1,2
K50458,C10841,2025-11-06,Damaged Item,Chat,1,3
K50459,C10841,2026-03-16,Membership Points,Chat,1,4
K50460,C10847,2026-05-29,Payment Issue,Email,1,5
K50461,C10849,2025-12-27,Wrong Item,Social,1,2
K50462,C10849,2026-01-10,Membership Points,Email,0,1
K50463,C10850,2025-09-09,Delivery Delay,Social,1,3
K50464,C10857,2026-01-30,Damaged Item,Call Center,0,4
K50465,C10860,2026-02-21,Damaged Item,Call Center,1,2
K50466,C10860,2026-07-19,Refund Request,Call Center,1,5
K50467,C10861,2025-11-13,App/Website Problem,Social,1,5
K50468,C10870,2025-08-20,Payment Issue,Call Center,1,3
